Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	3.8153	4.6832	0.	-30.587
2	1.6728	0.77418	0.	-90.842
3	1.8448	1.9634	0.	-432.65
4	3.6145	1.5411	0.	60.928
5	1.8624	5.0342	0.	-110.5
6	3.6677	5.4738	0.	33.566
7	4.4125	4.1789	0.	-247.17
8	0.8271	2.0446	0.	-282.
9	1.1641	3.0435	0.	-252.3
10	5.0518	3.4815	0.	-188.49
11	1.15	4.3847	0.	-145.63
12	4.2913	2.2963	0.	-98.25
13	4.64	1.1856	0.	-54.392
14	5.9037	1.3355	0.	-73.325
15	7.0959	1.4655	0.	-32.308
16	8.2781	1.5287	0.	-14.832
17	9.4399	1.5565	0.	-6.3869
18	10.592	1.5624	0.	-0.76038
19	11.729	1.5456	0.	-0.76034
20	12.862	1.5269	0.	-0.70771
21	13.977	1.5127	0.	-0.36615
22	15.079	1.4291	0.	-1.8652
23	16.168	1.2854	0.	-2.2631
24	17.311	1.187	0.	0.72806
25	18.416	1.2021	0.	-0.69515
26	19.534	1.1912	0.	-0.4493
27	20.642	1.191	0.	-0.60693
28	21.76	1.192	0.	-0.56413
29	22.879	1.1951	0.	-0.5921
30	22.867	2.3931	0.	-1.2248
31	22.864	3.6011	0.	-1.2441
32	22.872	4.7954	0.	-0.58655
33	21.748	4.7929	0.	-0.57388
34	20.634	4.7966	0.	-0.55158
35	19.513	4.7923	0.	-0.5144
36	18.407	4.791	0.	-0.68082
37	17.309	4.8034	0.	0.75108
38	16.163	4.721	0.	-2.2778
39	15.074	4.5696	0.	-1.7889
40	13.979	4.5063	0.	-0.18205
41	12.862	4.5301	0.	-0.79706
42	11.731	4.5356	0.	-0.75026
43	10.576	4.5413	0.	-0.59454
44	9.3954	4.5209	0.	-3.8112
45	8.1403	4.4773	0.	-16.78
46	6.6575	4.364	0.	-66.327
47	5.5853	4.9361	0.	-42.725
48	4.6854	5.2795	0.	-76.906
49	5.5793	2.5797	0.	-136.07
50	6.8768	2.9315	0.	-52.939
51	8.1414	3.0247	0.	-13.989
52	9.3803	3.0417	0.	-7.8235
53	10.566	3.0493	0.	-0.76817
54	11.721	3.0416	0.	-1.2545
55	12.87	3.0365	0.	-1.6449
56	14.02	3.0207	0.	0.25712
57	15.135	2.997	0.	-0.47877
58	16.288	2.3791	0.	0.44713
59	17.339	2.395	0.	-1.5009
60	18.42	2.3888	0.	-1.3371
61	19.514	2.3875	0.	-1.1505
62	20.631	2.3928	0.	-1.1924
63	21.74	2.39	0.	-1.1919
64	21.736	3.5946	0.	-1.185
65	20.625	3.5969	0.	-1.2639
66	19.52	3.5922	0.	-1.0963
67	18.41	3.5868	0.	-1.4279
68	17.337	3.5927	0.	-1.4904
69	16.286	3.6211	0.	0.44261
70	0.80119	1.0049	0.	-213.95
71	3.4925	5.0666	0.	4.9408
72	1.6792	1.4997	0.	-274.76
73	3.1224	2.4432	0.	-51.755
74	3.2847	1.0052	0.	173.9
75	2.1945	4.1658	0.	168.68
76	2.4615	4.1722	0.	-163.58
77	2.6135	3.8989	0.	-527.63
78	3.4715	3.2734	0.	-141.05
79	2.9414	3.6055	0.	-20.937
80	2.7732	3.4027	0.	-197.21
