Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	2.1098	2.7379	0.	1.9201e-004
2	2.8088	2.8497	0.	2.2153e-004
3	3.9226	1.354	0.	1.246e-004
4	1.2631	1.8721	0.	1.6539e-004
5	4.4708	4.5861	0.	1.0284e-004
6	1.8627	0.51646	0.	9.8624e-005
7	0.98696	0.76414	0.	1.4429e-004
8	3.8317	0.51892	0.	8.3182e-005
9	1.8203	5.2897	0.	1.0989e-004
10	1.8399	3.6721	0.	1.7349e-004
11	3.9049	5.4257	0.	7.8454e-005
12	0.93504	3.7034	0.	1.726e-004
13	4.6299	3.4382	0.	1.2008e-004
14	0.97196	4.8201	0.	1.355e-004
15	1.0412	2.6396	0.	1.7862e-004
16	4.7055	0.78601	0.	9.3268e-005
17	5.6751	1.1209	0.	1.0047e-004
18	6.7924	1.3399	0.	8.4703e-005
19	8.0412	1.2944	0.	7.3668e-005
20	9.3224	1.2242	0.	6.3041e-005
21	10.537	1.1913	0.	5.3562e-005
22	11.705	1.1796	0.	4.4884e-005
23	12.849	1.173	0.	3.7131e-005
24	13.971	1.173	0.	3.0202e-005
25	15.079	1.1744	0.	2.4072e-005
26	16.193	1.1768	0.	1.866e-005
27	17.302	1.1796	0.	1.3958e-005
28	18.414	1.1799	0.	9.9732e-006
29	19.529	1.179	0.	6.694e-006
30	20.643	1.1848	0.	4.143e-006
31	21.764	1.193	0.	2.3117e-006
32	22.881	1.195	0.	1.2273e-006
33	22.869	2.3929	0.	1.5651e-006
34	22.871	3.6026	0.	1.5669e-006
35	22.878	4.7974	0.	1.2289e-006
36	21.758	4.796	0.	2.3233e-006
37	20.634	4.7961	0.	4.1611e-006
38	19.519	4.7803	0.	6.7211e-006
39	18.406	4.7634	0.	1.0008e-005
40	17.294	4.7253	0.	1.3995e-005
41	16.184	4.6936	0.	1.8705e-005
42	15.076	4.6792	0.	2.4107e-005
43	13.968	4.6747	0.	3.0237e-005
44	12.858	4.6754	0.	3.7025e-005
45	11.722	4.7493	0.	4.48e-005
46	10.555	4.7446	0.	5.3399e-005
47	9.3561	4.7489	0.	6.3262e-005
48	8.1514	4.7825	0.	7.3597e-005
49	6.91	4.8431	0.	8.3126e-005
50	5.7905	5.0843	0.	9.3879e-005
51	4.8735	5.2843	0.	9.6725e-005
