Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	3.0505	3.0357	0.	1.1362e-004
2	3.8399	3.1265	0.	8.1828e-005
3	4.8597	2.4153	0.	5.4059e-005
4	3.1754	3.4953	0.	1.1297e-004
5	5.1756	3.2237	0.	4.7655e-005
6	1.9986	0.81159	0.	3.5735e-005
7	2.0089	2.5438	0.	4.927e-005
8	4.3718	0.54791	0.	3.1687e-005
9	2.1414	4.9955	0.	4.36e-005
10	2.7184	4.0616	0.	7.167e-005
11	4.5439	4.6507	0.	5.2823e-005
12	4.1188	5.0385	0.	3.7488e-005
13	1.18	4.5074	0.	7.8516e-005
14	4.3063	5.4679	0.	3.7955e-005
15	0.9608	2.0943	0.	9.1079e-005
16	0.96518	1.0271	0.	7.8364e-005
17	0.99238	3.2172	0.	9.4039e-005
18	5.41	0.75817	0.	3.3582e-005
19	6.3403	1.1336	0.	2.9581e-005
20	7.3826	1.4513	0.	2.6581e-005
21	8.5845	1.5271	0.	2.443e-005
22	9.8119	1.5181	0.	1.9589e-005
23	11.01	1.517	0.	1.6548e-005
24	12.207	1.5045	0.	1.3999e-005
25	13.364	1.5298	0.	1.1682e-005
26	14.517	1.5417	0.	9.5463e-006
27	15.68	1.5633	0.	7.6943e-006
28	16.901	1.6924	0.	5.7777e-006
29	18.225	1.216	0.	4.2968e-006
30	19.41	1.1925	0.	3.2144e-006
31	20.551	1.1969	0.	2.3066e-006
32	21.7	1.1927	0.	1.5478e-006
33	22.846	1.1916	0.	1.0438e-006
34	22.845	2.392	0.	1.3851e-006
35	22.843	3.5989	0.	1.382e-006
36	22.843	4.8028	0.	1.0266e-006
37	21.689	4.8063	0.	1.4837e-006
38	20.556	4.7998	0.	2.1343e-006
39	19.43	4.8202	0.	2.9255e-006
40	18.284	4.8503	0.	4.1464e-006
41	17.125	4.89	0.	5.5021e-006
42	16.071	4.7198	0.	7.1021e-006
43	15.066	4.5937	0.	8.5625e-006
44	13.915	4.5942	0.	1.0553e-005
45	12.731	4.6411	0.	1.2775e-005
46	11.566	4.6367	0.	1.512e-005
47	10.384	4.6257	0.	1.8139e-005
48	9.194	4.4961	0.	2.1794e-005
49	7.918	4.4615	0.	2.7193e-005
50	6.5097	4.4341	0.	2.9265e-005
51	5.43	5.1753	0.	3.4688e-005
52	6.702	2.8831	0.	2.9355e-005
53	18.389	2.4372	0.	4.4364e-006
54	19.436	2.4016	0.	3.4943e-006
55	20.543	2.391	0.	2.5219e-006
56	21.691	2.3939	0.	1.8052e-006
57	21.683	3.5912	0.	1.7901e-006
58	20.56	3.6007	0.	2.3887e-006
59	19.45	3.6229	0.	3.2255e-006
60	18.355	3.6874	0.	4.2129e-006
61	17.201	3.7941	0.	5.5864e-006
62	16.328	3.2685	0.	6.6736e-006
63	15.322	3.0841	0.	8.1718e-006
64	14.194	3.0754	0.	1.0136e-005
65	13.039	3.0715	0.	1.2235e-005
66	11.875	3.0356	0.	1.4455e-005
67	10.681	3.0556	0.	1.729e-005
68	9.4399	3.0617	0.	2.1055e-005
69	8.1325	3.0192	0.	2.6363e-005
70	4.9215	4.0595	0.	4.2613e-005
71	1.9941	1.6322	0.	4.4866e-005
72	2.1335	3.311	0.	4.5578e-005
73	2.7216	4.6788	0.	9.4915e-005
74	4.0995	1.0596	0.	4.5448e-005
75	4.8065	1.3717	0.	3.8928e-005
76	4.1004	1.7893	0.	5.4484e-005
77	3.7895	2.6396	0.	7.0614e-005
78	17.602	2.539	0.	5.7301e-006
79	2.9372	4.1576	0.	1.3163e-004
80	2.9615	4.4577	0.	1.6412e-004
81	3.8705	1.4497	0.	6.4169e-005
82	5.7407	1.9639	0.	3.29e-005
83	2.3969	3.8438	0.	6.6428e-005
84	2.3969	3.8438	0.1	1.5666e-004
85	5.7407	1.9639	0.1	9.9551e-005
86	3.8705	1.4497	0.1	1.254e-004
87	2.9615	4.4577	0.1	1.6453e-004
88	2.9372	4.1576	0.1	2.5604e-004
89	17.602	2.539	0.1	1.2417e-005
90	3.7895	2.6396	0.1	1.7217e-004
91	4.1004	1.7893	0.1	1.4933e-004
92	4.8065	1.3717	0.1	1.0065e-004
93	4.0995	1.0596	0.1	9.1298e-005
94	2.7216	4.6788	0.1	1.3599e-004
95	2.1335	3.311	0.1	1.4812e-004
96	1.9941	1.6322	0.1	1.2345e-004
97	4.9215	4.0595	0.1	1.1698e-004
98	8.1325	3.0192	0.1	7.2891e-005
99	9.4399	3.0617	0.1	6.1845e-005
100	10.681	3.0556	0.1	5.1825e-005
