Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	6.7965	2.2675	0.	-24.735
2	7.0852	3.6859	0.	-3.1595
3	6.616	1.7779	0.	-0.17347
4	4.8943	3.7895	0.	792.18
5	6.1951	4.7345	0.	138.48
6	4.161	0.52854	0.	72.376
7	3.9182	1.3484	0.	114.5
8	6.0966	0.55072	0.	64.502
9	4.0452	5.3406	0.	80.266
10	4.2021	4.7489	0.	179.66
11	4.5036	4.2347	0.	351.95
12	6.0424	5.4876	0.	108.07
13	6.7256	4.2752	0.	-12.408
14	3.5373	4.2245	0.	88.156
15	2.9259	3.3709	0.	-66.983
16	3.3586	0.77029	0.	44.251
17	2.2585	4.7678	0.	-91.683
18	1.2082	4.6783	0.	290.24
19	1.2636	1.2202	0.	289.95
20	2.4054	1.0148	0.	-59.367
21	6.9948	0.71382	0.	25.606
22	7.754	1.2158	0.	-2.6268
23	9.2307	1.2099	0.	5.1082
24	10.49	1.2032	0.	-1.7906
25	11.682	1.1988	0.	-0.1732
26	12.838	1.1879	0.	2.0292
27	13.977	1.1748	0.	4.7493
28	15.106	1.1743	0.	6.3883
29	16.21	1.1746	0.	7.54
30	17.325	1.1769	0.	8.0339
31	18.431	1.1796	0.	8.3648
32	19.541	1.1802	0.	8.5
33	20.653	1.1801	0.	8.3974
34	21.766	1.1876	0.	8.1663
35	22.884	1.1962	0.	7.6302
36	1.4485	3.4678	0.	291.87
37	1.4799	2.3283	0.	287.22
38	22.879	2.4	0.	10.695
39	22.874	3.597	0.	10.64
40	22.882	4.7962	0.	7.6512
41	21.762	4.7984	0.	8.1556
42	20.647	4.7823	0.	8.4038
43	19.535	4.7644	0.	8.4063
44	18.424	4.7253	0.	8.3641
45	17.316	4.6929	0.	8.0303
46	16.211	4.6783	0.	7.4848
47	15.105	4.6741	0.	6.6543
48	13.985	4.7153	0.	4.7724
49	12.844	4.7556	0.	2.1859
50	11.684	4.7521	0.	0.21712
51	10.534	4.7704	0.	-3.1633
52	9.3425	4.7921	0.	6.8034
53	7.9968	4.791	0.	-27.059
54	7.0687	5.2855	0.	9.6687
55	3.1221	5.0292	0.	19.378
56	8.1603	3.6218	0.	-23.768
57	7.8732	2.4172	0.	-21.002
58	9.1598	2.3675	0.	2.8579
59	10.41	2.381	0.	-0.78995
60	11.618	2.3783	0.	-0.60048
61	12.802	2.357	0.	1.1283
62	13.963	2.3538	0.	5.2312
63	15.1	2.3536	0.	7.502
64	16.207	2.3552	0.	9.003
65	17.321	2.3569	0.	9.7673
66	18.428	2.359	0.	10.268
67	19.538	2.3621	0.	10.44
68	20.647	2.3807	0.	10.592
69	21.763	2.3888	0.	10.694
70	21.752	3.5922	0.	10.676
71	20.647	3.5801	0.	10.593
72	19.534	3.5628	0.	10.446
73	18.42	3.537	0.	10.171
74	17.314	3.5267	0.	9.7248
75	16.208	3.5178	0.	8.7997
76	15.086	3.5186	0.	7.3137
77	13.961	3.5168	0.	4.884
78	12.8	3.5506	0.	0.93169
79	11.615	3.5536	0.	-0.30096
80	10.43	3.5673	0.	-4.8121
81	9.2155	3.5749	0.	8.1909
82	5.8446	5.0789	0.	114.48
83	4.3628	0.95889	0.	200.75
84	3.207	2.0369	0.	-63.684
85	5.8719	1.0429	0.	129.37
86	6.3621	1.3948	0.	37.394
87	5.1149	2.7822	0.	255.79
88	5.4895	3.4886	0.	71.791
89	6.0509	3.5163	0.	195.77
90	5.6507	3.112	0.	79.516
91	4.2103	3.8269	0.	292.93
92	4.5454	3.0928	0.	119.94
93	7.0772	3.0249	0.	15.626
94	4.9703	3.3577	0.	362.22
95	6.3693	3.0552	0.	29.556
96	6.2857	2.557	0.	-2.6835
97	5.6709	2.6559	0.	20.78
98	6.1668	2.0869	0.	48.722
99	5.6355	2.1489	0.	-87.668
100	6.0599	1.6791	0.	56.872
101	5.6515	1.5733	0.	218.06
102	5.6515	1.5733	0.1	1032.1
103	6.0599	1.6791	0.1	937.73
104	5.6355	2.1489	0.1	1687.4
105	6.1668	2.0869	0.1	1161.3
106	5.6709	2.6559	0.1	1704.7
107	6.2857	2.557	0.1	1234.3
108	6.3693	3.0552	0.1	1232.7
109	4.9703	3.3577	0.1	1914.7
110	7.0772	3.0249	0.1	988.06
111	4.5454	3.0928	0.1	1595.1
112	4.2103	3.8269	0.1	1332.4
113	5.6507	3.112	0.1	1578.4
114	6.0509	3.5163	0.1	1031.2
115	5.4895	3.4886	0.1	1905.6
116	5.1149	2.7822	0.1	1803.2
117	6.3621	1.3948	0.1	843.43
118	5.8719	1.0429	0.1	630.22
119	3.207	2.0369	0.1	1342.5
120	4.3628	0.95889	0.1	666.81
121	5.8446	5.0789	0.1	532.27
122	9.2155	3.5749	0.1	637.63
123	10.43	3.5673	0.1	541.16
124	11.615	3.5536	0.1	450.07
125	12.8	3.5506	0.1	370.22
126	13.961	3.5168	0.1	298.36
127	15.086	3.5186	0.1	236.04
128	16.208	3.5178	0.1	181.21
129	17.314	3.5267	0.1	134.42
130	18.42	3.537	0.1	94.82
131	19.534	3.5628	0.1	62.155
132	20.647	3.5801	0.1	36.686
133	21.752	3.5922	0.1	18.429
134	21.763	2.3888	0.1	18.233
135	20.647	2.3807	0.1	36.662
136	19.538	2.3621	0.1	62.014
137	18.428	2.359	0.1	94.444
138	17.321	2.3569	0.1	134.15
139	16.207	2.3552	0.1	181.09
140	15.1	2.3536	0.1	235.28
141	13.963	2.3538	0.1	298.04
142	12.802	2.357	0.1	369.52
143	11.618	2.3783	0.1	450.33
144	10.41	2.381	0.1	543.59
145	9.1598	2.3675	0.1	648.41
146	7.8732	2.4172	0.1	790.93
147	8.1603	3.6218	0.1	751.78
148	3.1221	5.0292	0.1	1113.9
149	7.0687	5.2855	0.1	752.85
150	7.9968	4.791	0.1	746.33
151	9.3425	4.7921	0.1	631.81
152	10.534	4.7704	0.1	534.55
153	11.684	4.7521	0.1	446.85
154	12.844	4.7556	0.1	368.49
155	13.985	4.7153	0.1	297.68
156	15.105	4.6741	0.1	235.39
157	16.211	4.6783	0.1	181.57
158	17.316	4.6929	0.1	134.69
159	18.424	4.7253	0.1	94.872
160	19.535	4.7644	0.1	62.256
161	20.647	4.7823	0.1	36.601
162	21.762	4.7984	0.1	17.963
163	22.882	4.7962	0.1	6.3816
164	22.874	3.597	0.1	6.951
165	22.879	2.4	0.1	6.8889
166	1.4799	2.3283	0.1	1398.5
167	1.4485	3.4678	0.1	1375.6
168	22.884	1.1962	0.1	6.3337
169	21.766	1.1876	0.1	17.891
170	20.653	1.1801	0.1	36.395
171	19.541	1.1802	0.1	61.983
172	18.431	1.1796	0.1	94.628
173	17.325	1.1769	0.1	134.38
174	16.21	1.1746	0.1	181.35
175	15.106	1.1743	0.1	235.76
176	13.977	1.1748	0.1	298.1
177	12.838	1.1879	0.1	368.63
178	11.682	1.1988	0.1	447.67
179	10.49	1.2032	0.1	539.6
180	9.2307	1.2099	0.1	642.41
181	7.754	1.2158	0.1	738.88
182	6.9948	0.71382	0.1	755.09
183	2.4054	1.0148	0.1	1406.7
184	1.2636	1.2202	0.1	1315.9
185	1.2082	4.6783	0.1	1312.1
186	2.2585	4.7678	0.1	1374.9
187	3.3586	0.77029	0.1	1066.7
188	2.9259	3.3709	0.1	1350.8
189	3.5373	4.2245	0.1	1375.8
190	6.7256	4.2752	0.1	1017.7
191	6.0424	5.4876	0.1	619.51
192	4.5036	4.2347	0.1	1290.3
193	4.2021	4.7489	0.1	997.92
194	4.0452	5.3406	0.1	833.14
195	6.0966	0.55072	0.1	561.62
196	3.9182	1.3484	0.1	1095.1
197	4.161	0.52854	0.1	707.33
198	6.1951	4.7345	0.1	914.39
199	4.8943	3.7895	0.1	2588.8
200	6.616	1.7779	0.1	955.73
201	7.0852	3.6859	0.1	958.91
202	6.7965	2.2675	0.1	967.05
203	5.1467	4.	0.	-337.62
204	5.1467	4.5	0.	546.16
205	5.1467	5.	0.	323.07
206	5.1467	5.5	0.	-87.39
207	4.98	4.	0.	181.01
208	4.98	5.5	0.	-111.62
209	4.98	5.	0.	4.0023
210	4.98	4.5	0.	716.04
211	5.1467	2.	0.	-29.822
212	5.1467	1.5	0.	698.62
213	5.1467	1.	0.	-14.813
214	5.1467	0.5	0.	-70.362
215	4.98	2.	0.	-365.23
216	4.98	0.5	0.	-91.648
217	4.98	1.	0.	485.51
218	4.98	1.5	0.	589.13
219	5.1467	6.	0.	-30.919
220	6.2557	6.	0.	-8.8313
221	7.3647	6.	0.	31.121
222	8.4737	6.	0.	32.762
223	9.5827	6.	0.	-1.6654
224	10.692	6.	0.	5.3136
225	11.801	6.	0.	7.5365
226	12.91	6.	0.	8.7135
227	14.019	6.	0.	8.6526
228	15.128	6.	0.	9.8145
229	16.237	6.	0.	10.954
230	17.346	6.	0.	11.355
231	18.455	6.	0.	11.261
232	19.564	6.	0.	10.945
233	20.673	6.	0.	10.304
234	21.782	6.	0.	9.322
235	22.891	6.	0.	7.5553
236	24.	6.	0.	5.1489
237	24.	4.8	0.	6.7821
238	24.	3.6	0.	10.081
239	24.	2.4	0.	10.076
240	24.	1.2	0.	6.8069
241	1.049e-014	1.2	0.	-964.07
242	2.0981e-014	2.4	0.	-999.68
243	3.1471e-014	3.6	0.	-1024.7
244	4.1961e-014	4.8	0.	-999.44
245	24.	0.	0.	5.1315
246	5.1467	0.	0.	-60.653
247	22.891	0.	0.	7.5335
248	21.782	0.	0.	9.2418
249	20.673	0.	0.	10.136
250	19.564	0.	0.	10.587
251	18.455	0.	0.	10.691
252	17.346	0.	0.	10.483
253	16.237	0.	0.	10.334
254	15.128	0.	0.	9.3659
255	14.019	0.	0.	8.8312
256	12.91	0.	0.	8.5358
257	11.801	0.	0.	9.0023
258	10.692	0.	0.	8.2886
259	9.5827	0.	0.	6.0715
260	8.4737	0.	0.	41.06
261	7.3647	0.	0.	41.564
262	6.2557	0.	0.	3.1283
263	0.	0.	0.	-591.8
264	4.98	0.	0.	-85.507
