Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	6.1971	2.8011	0.	4.6584e-005
2	5.9946	3.2027	0.	4.6596e-005
3	6.9299	1.4328	0.	2.1912e-005
4	3.8367	3.3492	0.	2.1994e-005
5	7.1585	4.2697	0.	2.0328e-005
6	4.9351	0.39652	0.	1.0983e-005
7	6.98	0.55881	0.	1.7645e-005
8	4.8716	4.6833	0.	2.9172e-005
9	6.8243	5.4752	0.	1.3549e-005
10	7.2293	3.6229	0.	2.4106e-005
11	4.9616	5.3971	0.	2.3105e-005
12	4.5174	1.4651	0.	2.2975e-005
13	3.3857	1.2488	0.	3.1496e-005
14	4.5029	2.3833	0.	3.7548e-005
15	8.1499	1.8102	0.	1.9794e-005
16	4.0051	5.1969	0.	2.7749e-005
17	1.3669	4.7613	0.	1.338e-005
18	1.1761	1.1936	0.	1.35e-005
19	2.312	1.169	0.	2.6154e-005
20	7.891	0.96421	0.	1.7787e-005
21	9.2255	0.98061	0.	1.8889e-005
22	10.379	1.0952	0.	1.7024e-005
23	11.445	1.2122	0.	1.4804e-005
24	12.616	1.1946	0.	1.2657e-005
25	13.777	1.1796	0.	1.0026e-005
26	14.934	1.1733	0.	7.8282e-006
27	16.075	1.1799	0.	5.8953e-006
28	17.21	1.1824	0.	4.2527e-006
29	18.337	1.1827	0.	2.8902e-006
30	19.471	1.1922	0.	1.7792e-006
31	20.597	1.1941	0.	8.9676e-007
32	21.734	1.1925	0.	2.7794e-007
33	22.866	1.1954	0.	-9.7296e-008
34	1.3414	3.6042	0.	5.2357e-006
35	1.2329	2.4023	0.	5.5305e-006
36	22.857	2.3936	0.	-2.4105e-007
37	22.854	3.6006	0.	-2.4279e-007
38	22.86	4.7959	0.	-9.6208e-008
39	21.727	4.7975	0.	2.8181e-007
40	20.592	4.7961	0.	9.0591e-007
41	19.459	4.7986	0.	1.7855e-006
42	18.331	4.7765	0.	2.9034e-006
43	17.203	4.7366	0.	4.2945e-006
44	16.046	4.7279	0.	5.9371e-006
45	14.908	4.7503	0.	7.9038e-006
46	13.742	4.7584	0.	1.0137e-005
47	12.547	4.76	0.	1.2777e-005
48	11.291	4.7301	0.	1.526e-005
49	10.012	4.7465	0.	1.6778e-005
50	8.4917	4.754	0.	1.825e-005
51	7.7958	5.3016	0.	2.1754e-005
52	3.5077	2.3369	0.	2.0465e-005
53	8.4407	3.7388	0.	1.7483e-005
54	2.6824	3.4981	0.	1.6122e-005
55	2.3854	2.3656	0.	1.685e-005
56	9.2262	1.8984	0.	1.7787e-005
57	10.213	2.244	0.	1.732e-005
58	11.314	2.3861	0.	1.4572e-005
59	12.518	2.3837	0.	1.246e-005
60	13.71	2.3625	0.	1.0078e-005
61	14.888	2.3497	0.	7.7777e-006
62	16.056	2.3553	0.	5.8377e-006
63	17.199	2.3647	0.	4.1679e-006
64	18.334	2.3704	0.	2.7716e-006
65	19.458	2.3874	0.	1.6548e-006
66	20.58	2.3976	0.	7.8341e-007
67	21.718	2.3907	0.	1.5743e-007
68	21.719	3.5977	0.	1.5842e-007
69	20.575	3.5952	0.	7.8472e-007
70	19.447	3.5865	0.	1.6596e-006
71	18.33	3.5724	0.	2.7828e-006
72	17.205	3.5472	0.	4.1626e-006
73	16.047	3.5231	0.	5.8172e-006
74	14.876	3.5481	0.	7.7961e-006
75	13.695	3.5603	0.	1.0122e-005
76	12.481	3.5687	0.	1.2625e-005
77	9.7125	3.4509	0.	1.53e-005
78	6.6183	5.0799	0.	1.4987e-005
79	6.9676	4.744	0.	1.9931e-005
80	4.5882	0.79955	0.	1.1732e-005
81	5.3204	2.3477	0.	2.9179e-005
82	2.9392	4.7162	0.	2.6298e-005
83	5.1522	5.0367	0.	1.2562e-005
84	4.2148	4.1023	0.	2.132e-005
85	6.6647	0.99579	0.	1.3426e-005
86	7.2953	2.053	0.	1.2264e-005
87	5.0539	3.2494	0.	3.1482e-005
88	7.8291	2.8193	0.	1.8822e-005
89	6.8856	2.8579	0.	3.4753e-005
90	8.8013	2.645	0.	1.8697e-005
91	11.186	3.5514	0.	1.441e-005
92	11.186	3.5514	0.1	-1.441e-005
93	8.8013	2.645	0.1	-1.8697e-005
94	6.8856	2.8579	0.1	-3.4753e-005
95	7.8291	2.8193	0.1	-1.8822e-005
96	5.0539	3.2494	0.1	-3.1482e-005
97	7.2953	2.053	0.1	-1.2264e-005
98	6.6647	0.99579	0.1	-1.3426e-005
99	4.2148	4.1023	0.1	-2.132e-005
100	5.1522	5.0367	0.1	-1.2562e-005
101	2.9392	4.7162	0.1	-2.6298e-005
102	5.3204	2.3477	0.1	-2.9179e-005
103	4.5882	0.79955	0.1	-1.1732e-005
104	6.9676	4.744	0.1	-1.9931e-005
105	6.6183	5.0799	0.1	-1.4987e-005
106	9.7125	3.4509	0.1	-1.53e-005
107	12.481	3.5687	0.1	-1.2625e-005
108	13.695	3.5603	0.1	-1.0122e-005
109	14.876	3.5481	0.1	-7.7961e-006
110	16.047	3.5231	0.1	-5.8172e-006
111	17.205	3.5472	0.1	-4.1626e-006
112	18.33	3.5724	0.1	-2.7828e-006
113	19.447	3.5865	0.1	-1.6596e-006
114	20.575	3.5952	0.1	-7.8472e-007
115	21.719	3.5977	0.1	-1.5842e-007
116	21.718	2.3907	0.1	-1.5743e-007
117	20.58	2.3976	0.1	-7.8341e-007
118	19.458	2.3874	0.1	-1.6548e-006
119	18.334	2.3704	0.1	-2.7716e-006
120	17.199	2.3647	0.1	-4.1679e-006
121	16.056	2.3553	0.1	-5.8377e-006
122	14.888	2.3497	0.1	-7.7777e-006
123	13.71	2.3625	0.1	-1.0078e-005
124	12.518	2.3837	0.1	-1.246e-005
125	11.314	2.3861	0.1	-1.4572e-005
126	10.213	2.244	0.1	-1.732e-005
127	9.2262	1.8984	0.1	-1.7787e-005
128	2.3854	2.3656	0.1	-1.685e-005
129	2.6824	3.4981	0.1	-1.6122e-005
130	8.4407	3.7388	0.1	-1.7483e-005
131	3.5077	2.3369	0.1	-2.0465e-005
132	7.7958	5.3016	0.1	-2.1754e-005
133	8.4917	4.754	0.1	-1.825e-005
134	10.012	4.7465	0.1	-1.6778e-005
135	11.291	4.7301	0.1	-1.526e-005
136	12.547	4.76	0.1	-1.2777e-005
137	13.742	4.7584	0.1	-1.0137e-005
138	14.908	4.7503	0.1	-7.9038e-006
139	16.046	4.7279	0.1	-5.9371e-006
140	17.203	4.7366	0.1	-4.2945e-006
141	18.331	4.7765	0.1	-2.9034e-006
142	19.459	4.7986	0.1	-1.7855e-006
143	20.592	4.7961	0.1	-9.0591e-007
144	21.727	4.7975	0.1	-2.8181e-007
145	22.86	4.7959	0.1	9.6208e-008
146	22.854	3.6006	0.1	2.4279e-007
147	22.857	2.3936	0.1	2.4105e-007
148	1.2329	2.4023	0.1	-5.5305e-006
149	1.3414	3.6042	0.1	-5.2357e-006
150	22.866	1.1954	0.1	9.7296e-008
151	21.734	1.1925	0.1	-2.7794e-007
152	20.597	1.1941	0.1	-8.9676e-007
153	19.471	1.1922	0.1	-1.7792e-006
154	18.337	1.1827	0.1	-2.8902e-006
155	17.21	1.1824	0.1	-4.2527e-006
156	16.075	1.1799	0.1	-5.8953e-006
157	14.934	1.1733	0.1	-7.8282e-006
158	13.777	1.1796	0.1	-1.0026e-005
159	12.616	1.1946	0.1	-1.2657e-005
160	11.445	1.2122	0.1	-1.4804e-005
161	10.379	1.0952	0.1	-1.7024e-005
162	9.2255	0.98061	0.1	-1.8889e-005
163	7.891	0.96421	0.1	-1.7787e-005
164	2.312	1.169	0.1	-2.6154e-005
165	1.1761	1.1936	0.1	-1.35e-005
166	1.3669	4.7613	0.1	-1.338e-005
167	4.0051	5.1969	0.1	-2.7749e-005
168	8.1499	1.8102	0.1	-1.9794e-005
169	4.5029	2.3833	0.1	-3.7548e-005
170	3.3857	1.2488	0.1	-3.1496e-005
171	4.5174	1.4651	0.1	-2.2975e-005
172	4.9616	5.3971	0.1	-2.3105e-005
173	7.2293	3.6229	0.1	-2.4106e-005
174	6.8243	5.4752	0.1	-1.3549e-005
175	4.8716	4.6833	0.1	-2.9172e-005
176	6.98	0.55881	0.1	-1.7645e-005
