Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	6.2148	2.8008	0.	5.13e-002
2	6.011	3.2021	0.	4.7893e-002
3	6.949	1.4327	0.	6.3947e-002
4	3.8492	3.3492	0.	1.9997e-002
5	7.1768	4.2699	0.	6.8053e-002
6	4.9521	0.39654	0.	3.0216e-002
7	6.9989	0.55877	0.	6.4245e-002
8	4.8886	4.6827	0.	3.0539e-002
9	6.8434	5.4753	0.	6.0091e-002
10	7.247	3.6235	0.	6.9879e-002
11	4.9792	5.3967	0.	3.053e-002
12	4.5325	1.465	0.	2.6887e-002
13	3.3969	1.2487	0.	1.5228e-002
14	4.517	2.3833	0.	2.726e-002
15	8.1673	1.8101	0.	8.8811e-002
16	4.0194	5.1966	0.	2.0397e-002
17	1.3717	4.7612	0.	2.4421e-003
18	1.1798	1.1933	0.	1.8175e-003
19	2.3196	1.1688	0.	7.0585e-003
20	7.909	0.96395	0.	8.304e-002
21	9.2418	0.9805	0.	0.11206
22	10.394	1.095	0.	0.13896
23	11.459	1.2122	0.	0.1651
24	12.629	1.1944	0.	0.19495
25	13.788	1.1794	0.	0.22555
26	14.944	1.1731	0.	0.25689
27	16.083	1.1796	0.	0.28844
28	17.218	1.1822	0.	0.32032
29	18.343	1.1825	0.	0.3523
30	19.476	1.192	0.	0.38474
31	20.601	1.194	0.	0.41711
32	21.737	1.1924	0.	0.44991
33	22.867	1.1953	0.	0.48259
34	1.346	3.6042	0.	2.5238e-003
35	1.2367	2.4022	0.	2.1465e-003
36	22.858	2.3936	0.	0.48204
37	22.855	3.6007	0.	0.48162
38	22.861	4.7958	0.	0.48145
39	21.729	4.7974	0.	0.44873
40	20.595	4.796	0.	0.41599
41	19.463	4.7985	0.	0.3834
42	18.337	4.7761	0.	0.35116
43	17.21	4.7358	0.	0.31915
44	16.055	4.7273	0.	0.28671
45	14.918	4.7501	0.	0.25524
46	13.754	4.7582	0.	0.22369
47	12.56	4.7598	0.	0.19222
48	11.305	4.7299	0.	0.16036
49	10.027	4.7464	0.	0.1294
50	8.5088	4.7542	0.	9.5084e-002
51	7.8137	5.3017	0.	7.982e-002
52	3.5191	2.3367	0.	1.6828e-002
53	8.4581	3.7393	0.	9.4701e-002
54	2.6916	3.4977	0.	9.9771e-003
55	2.3931	2.3653	0.	7.9401e-003
56	9.2425	1.8983	0.	0.11235
57	10.228	2.2439	0.	0.13521
58	11.328	2.3859	0.	0.16192
59	12.531	2.3835	0.	0.19245
60	13.721	2.3622	0.	0.22376
61	14.898	2.3493	0.	0.25559
62	16.064	2.3549	0.	0.28779
63	17.206	2.3643	0.	0.31983
64	18.34	2.3701	0.	0.352
65	19.462	2.3872	0.	0.38412
66	20.583	2.3975	0.	0.41634
67	21.72	2.3906	0.	0.44916
68	21.721	3.5976	0.	0.44884
69	20.578	3.5951	0.	0.41589
70	19.451	3.5862	0.	0.38347
71	18.336	3.572	0.	0.35157
72	17.212	3.5467	0.	0.3197
73	16.056	3.5225	0.	0.28725
74	14.886	3.5477	0.	0.25494
75	13.706	3.56	0.	0.22304
76	12.494	3.5684	0.	0.19117
77	9.7282	3.4508	0.	0.12323
78	6.6375	5.08	0.	5.6695e-002
79	6.9864	4.7442	0.	6.3855e-002
80	4.6039	0.79956	0.	2.6932e-002
81	5.3372	2.3473	0.	3.7641e-002
82	2.9499	4.7159	0.	1.1393e-002
83	5.1701	5.0365	0.	3.3434e-002
84	4.2292	4.1021	0.	2.3613e-002
85	6.6839	0.99572	0.	5.8502e-002
86	7.3135	2.0536	0.	7.1351e-002
87	5.0699	3.2499	0.	3.4099e-002
88	7.846	2.8194	0.	8.2135e-002
89	6.904	2.8581	0.	6.3576e-002
90	8.8178	2.6451	0.	0.10289
91	11.2	3.5512	0.	0.15845
92	11.2	3.5512	0.1	0.15845
93	8.8178	2.6451	0.1	0.10289
94	6.904	2.8581	0.1	6.3576e-002
95	7.846	2.8194	0.1	8.2135e-002
96	5.0699	3.2499	0.1	3.4099e-002
97	7.3135	2.0536	0.1	7.1351e-002
98	6.6839	0.99572	0.1	5.8502e-002
99	4.2292	4.1021	0.1	2.3613e-002
100	5.1701	5.0365	0.1	3.3434e-002
101	2.9499	4.7159	0.1	1.1393e-002
102	5.3372	2.3473	0.1	3.7641e-002
103	4.6039	0.79956	0.1	2.6932e-002
104	6.9864	4.7442	0.1	6.3855e-002
105	6.6375	5.08	0.1	5.6695e-002
106	9.7282	3.4508	0.1	0.12323
107	12.494	3.5684	0.1	0.19117
108	13.706	3.56	0.1	0.22304
109	14.886	3.5477	0.1	0.25494
110	16.056	3.5225	0.1	0.28725
111	17.212	3.5467	0.1	0.3197
112	18.336	3.572	0.1	0.35157
113	19.451	3.5862	0.1	0.38347
114	20.578	3.5951	0.1	0.41589
115	21.721	3.5976	0.1	0.44884
116	21.72	2.3906	0.1	0.44916
117	20.583	2.3975	0.1	0.41634
118	19.462	2.3872	0.1	0.38412
119	18.34	2.3701	0.1	0.352
120	17.206	2.3643	0.1	0.31983
121	16.064	2.3549	0.1	0.28779
122	14.898	2.3493	0.1	0.25559
123	13.721	2.3622	0.1	0.22376
124	12.531	2.3835	0.1	0.19245
125	11.328	2.3859	0.1	0.16192
