Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,6.2565,2.7932,0,0.00015951,1594,7.8481e-05,418.86,4.6091e-05,175.49,-0.00014799,-1282.8,0.051986
2,6.0592,3.1998,0,0.00015935,1592.4,6.7302e-05,221.31,4.7532e-05,72.756,-0.00015383,-1440.2,0.048649
3,6.9694,1.431,0,8.9381e-05,893.19,3.9527e-05,108.72,2.1852e-05,-24.084,-8.7197e-05,-843.44,0.064334
4,3.8732,3.3343,0,0.00012034,1202.5,4.765e-05,-23.095,2.3276e-05,-206.23,-0.00012319,-1306.7,0.020237
5,7.1952,4.2701,0,8.9463e-05,894.02,3.0801e-05,-78.192,1.9972e-05,-159.56,-9.323e-05,-1010.1,0.068381
6,4.9696,0.39611,0,4.3654e-05,436.24,2.3032e-05,128.06,1.0926e-05,37.107,-4.0127e-05,-346.48,0.030438
7,7.0177,0.55821,0,6.3436e-05,633.93,2.7644e-05,90.196,1.7558e-05,14.417,-6.1316e-05,-578.21,0.064614
8,4.9055,4.6822,0,0.00012331,1232.3,5.8415e-05,206.61,2.8292e-05,-19.723,-0.00011856,-1123.1,0.03073
9,6.8625,5.4754,0,5.7394e-05,573.54,2.6367e-05,84.763,1.3625e-05,-10.978,-5.5535e-05,-530.62,0.060417
10,7.2732,3.6227,0,0.00010543,1053.6,4.1242e-05,5.1795,2.3843e-05,-125.55,-0.00010687,-1107.7,0.070369
11,4.9969,5.3963,0,9.0944e-05,908.81,4.2941e-05,168.65,2.2773e-05,17.108,-8.683e-05,-806.4,0.030722
12,4.55,1.458,0,9.483e-05,947.65,3.7618e-05,25.739,2.2527e-05,-87.647,-9.5373e-05,-973.5,0.027078
13,3.4124,1.2474,0,0.00011737,1172.9,4.2526e-05,-5.9854,3.1592e-05,-88.14,-0.00011875,-1217.8,0.01536
14,4.5615,2.3652,0,0.0001281,1280.1,4.7507e-05,60.591,3.8876e-05,-4.2558,-0.00012702,-1250.7,0.027763
15,8.1869,1.8071,0,6.9805e-05,697.57,2.3864e-05,-20.329,1.9735e-05,-51.352,-7.0973e-05,-732.9,0.089236
16,4.0346,5.1952,0,9.9916e-05,998.47,3.5536e-05,-3.0366,2.8271e-05,-57.618,-0.00010084,-1027.7,0.020538
17,1.3765,4.7453,0,0.00013987,1397.7,7.615e-05,253.27,1.3286e-05,-219.07,-0.00013316,-1319.4,0.0024617
18,1.1836,1.193,0,0.00014165,1415.5,7.7395e-05,263.12,1.3562e-05,-216.5,-0.00013462,-1329.9,0.001828
19,2.3295,1.1695,0,0.00012808,1279.9,4.8923e-05,-44.803,2.6178e-05,-215.7,-0.00013165,-1401.6,0.0071168
20,7.9276,0.96185,0,6.5457e-05,654.12,2.4359e-05,9.2992,1.7669e-05,-40.971,-6.585e-05,-668.5,0.083441
21,9.259,0.979,0,6.1919e-05,618.76,2.1865e-05,8.6597,1.8781e-05,-14.517,-6.1986e-05,-621.37,0.11249
22,10.41,1.0941,0,5.3571e-05,535.34,1.8097e-05,-0.40313,1.6931e-05,-9.1654,-5.3729e-05,-540.07,0.1394
23,11.473,1.2123,0,4.5703e-05,456.71,1.536e-05,1.4414,1.4743e-05,-3.1888,-4.5731e-05,-457.57,0.16553
24,12.642,1.1943,0,3.8291e-05,382.65,1.2767e-05,2.0737,1.2605e-05,0.8608,-3.8241e-05,-381.18,0.19539
25,13.799,1.1789,0,3.1061e-05,310.4,1.0648e-05,4.4184,9.9807e-06,-0.59469,-3.0993e-05,-308.46,0.22598
26,14.954,1.1724,0,2.4684e-05,246.67,8.6856e-06,6.2027,7.7964e-06,-0.47791,-2.458e-05,-243.74,0.25732
27,16.094,1.1793,0,1.9053e-05,190.4,6.9224e-06,7.2884,5.8718e-06,-0.60573,-1.8927e-05,-186.93,0.28891
28,17.225,1.182,0,1.4236e-05,142.26,5.3905e-06,7.9499,4.2387e-06,-0.70447,-1.4093e-05,-138.44,0.32071
29,18.349,1.1822,0,1.0157e-05,101.5,4.0695e-06,8.3276,2.8762e-06,-0.63794,-9.9966e-06,-97.359,0.35268
30,19.48,1.1919,0,6.8134e-06,68.087,2.9674e-06,8.4854,1.7717e-06,-0.49916,-6.6329e-06,-63.648,0.3851
31,20.604,1.1939,0,4.2101e-06,42.072,2.1013e-06,8.4496,8.9536e-07,-0.61096,-4.0029e-06,-37.414,0.41746
32,21.739,1.1924,0,2.3395e-06,23.378,1.4433e-06,8.1935,2.7614e-07,-0.57623,-2.083e-06,-18.302,0.45025
33,22.868,1.1953,0,1.2307e-06,12.298,9.9811e-07,7.6235,-9.7738e-08,-0.61029,-8.8336e-07,-6.5131,0.48292
34,1.3569,3.5876,0,0.00014658,1464.8,8.5362e-05,304.41,5.3087e-06,-297.07,-0.00013688,-1365.4,0.0025674
35,1.2408,2.402,0,0.00014906,1489.6,8.671e-05,311.03,5.8058e-06,-296.85,-0.0001392,-1386.4,0.0021627
36,22.859,2.3935,0,1.5645e-06,15.634,1.3379e-06,10.617,-2.4018e-07,-1.2399,-1.0203e-06,-7.1012,0.48235
37,22.855,3.6007,0,1.5688e-06,15.677,1.3419e-06,10.641,-2.4322e-07,-1.2685,-1.022e-06,-7.1201,0.48193
38,22.862,4.7958,0,1.2342e-06,12.334,9.9987e-07,7.6285,-9.6647e-08,-0.61032,-8.8734e-07,-6.5513,0.48176
