Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	0.26667	2.1818	0.	18634
2	0.26667	2.3636	0.	15375
3	0.26667	2.5455	0.	15214
4	0.26667	2.7273	0.	15351
5	0.26667	2.9091	0.	15422
6	0.26667	3.0909	0.	15422
7	0.26667	3.2727	0.	15351
8	0.26667	3.4545	0.	15214
9	0.26667	3.6364	0.	15375
10	0.26667	3.8182	0.	18634
11	0.1	2.1818	0.	18186
12	0.1	2.3636	0.	19410
13	0.1	2.5455	0.	19895
14	0.1	2.7273	0.	19757
15	0.1	2.9091	0.	19604
16	0.1	3.0909	0.	19604
17	0.1	3.2727	0.	19757
18	0.1	3.4545	0.	19895
19	0.1	3.6364	0.	19410
20	0.1	3.8182	0.	18186
21	0.45065	5.8182	0.	1129.1
22	0.63463	5.8182	0.	1738.5
23	0.81861	5.8182	0.	2388.2
24	1.0026	5.8182	0.	2984.
25	1.1866	5.8182	0.	3507.3
26	1.3705	5.8182	0.	3953.2
27	1.5545	5.8182	0.	4322.3
28	1.7385	5.8182	0.	4619.6
29	1.9225	5.8182	0.	4852.3
30	2.1065	5.8182	0.	5028.7
31	2.2904	5.8182	0.	5157.3
32	2.4744	5.8182	0.	5246.1
33	2.6584	5.8182	0.	5302.4
34	2.8424	5.8182	0.	5332.3
35	3.0264	5.8182	0.	5341.4
36	3.2103	5.8182	0.	5333.9
37	3.3943	5.8182	0.	5313.5
38	3.5783	5.8182	0.	5283.2
39	3.7623	5.8182	0.	5245.2
40	3.9463	5.8182	0.	5201.5
41	4.1302	5.8182	0.	5153.4
42	4.3142	5.8182	0.	5102.2
43	4.4982	5.8182	0.	5048.6
44	4.6822	5.8182	0.	4993.4
45	4.8661	5.8182	0.	4937.1
46	5.0501	5.8182	0.	4880.
47	5.2341	5.8182	0.	4822.5
48	5.4181	5.8182	0.	4764.7
49	5.6021	5.8182	0.	4706.9
50	5.786	5.8182	0.	4649.1
51	5.97	5.8182	0.	4591.4
52	6.154	5.8182	0.	4533.9
53	6.338	5.8182	0.	4476.7
54	6.522	5.8182	0.	4419.7
55	6.7059	5.8182	0.	4362.9
56	6.8899	5.8182	0.	4306.5
57	7.0739	5.8182	0.	4250.3
58	7.2579	5.8182	0.	4194.4
59	7.4419	5.8182	0.	4138.9
60	7.6258	5.8182	0.	4083.6
61	7.8098	5.8182	0.	4028.5
62	7.9938	5.8182	0.	3973.8
63	8.1778	5.8182	0.	3919.3
64	8.3618	5.8182	0.	3865.1
65	8.5457	5.8182	0.	3811.1
66	8.7297	5.8182	0.	3757.4
67	8.9137	5.8182	0.	3704.
68	9.0977	5.8182	0.	3650.8
69	9.2817	5.8182	0.	3597.8
70	9.4656	5.8182	0.	3545.
71	9.6496	5.8182	0.	3492.5
72	9.8336	5.8182	0.	3440.3
73	10.018	5.8182	0.	3388.2
74	10.202	5.8182	0.	3336.4
75	10.386	5.8182	0.	3284.8
76	10.57	5.8182	0.	3233.4
77	10.753	5.8182	0.	3182.3
78	10.937	5.8182	0.	3131.3
79	11.121	5.8182	0.	3080.6
80	11.305	5.8182	0.	3030.1
81	11.489	5.8182	0.	2979.8
82	11.673	5.8182	0.	2929.7
83	11.857	5.8182	0.	2879.9
84	12.041	5.8182	0.	2830.2
85	12.225	5.8182	0.	2780.7
86	12.409	5.8182	0.	2731.5
87	12.593	5.8182	0.	2682.5
88	12.777	5.8182	0.	2633.6
89	12.961	5.8182	0.	2585.
90	13.145	5.8182	0.	2536.6
91	13.329	5.8182	0.	2488.4
92	13.513	5.8182	0.	2440.4
93	13.697	5.8182	0.	2392.6
94	13.881	5.8182	0.	2345.
95	14.065	5.8182	0.	2297.6
96	14.249	5.8182	0.	2250.4
97	14.433	5.8182	0.	2203.5
98	14.617	5.8182	0.	2156.7
99	14.801	5.8182	0.	2110.1
100	14.985	5.8182	0.	2063.8
101	15.169	5.8182	0.	2017.6
102	15.353	5.8182	0.	1971.6
103	15.537	5.8182	0.	1925.9
104	15.721	5.8182	0.	1880.3
105	15.905	5.8182	0.	1835.
106	16.089	5.8182	0.	1789.8
107	16.273	5.8182	0.	1744.9
108	16.457	5.8182	0.	1700.1
109	16.641	5.8182	0.	1655.6
110	16.825	5.8182	0.	1611.2
111	17.009	5.8182	0.	1567.1
112	17.193	5.8182	0.	1523.1
113	17.377	5.8182	0.	1479.4
114	17.561	5.8182	0.	1435.8
115	17.745	5.8182	0.	1392.4
116	17.929	5.8182	0.	1349.3
117	18.113	5.8182	0.	1306.3
118	18.297	5.8182	0.	1263.5
119	18.481	5.8182	0.	1220.9
120	18.665	5.8182	0.	1178.5
121	18.849	5.8182	0.	1136.2
122	19.033	5.8182	0.	1094.2
123	19.217	5.8182	0.	1052.3
124	19.401	5.8182	0.	1010.6
125	19.584	5.8182	0.	969.04
126	19.768	5.8182	0.	927.67
127	19.952	5.8182	0.	886.46
128	20.136	5.8182	0.	845.41
129	20.32	5.8182	0.	804.51
130	20.504	5.8182	0.	763.77
131	20.688	5.8182	0.	723.17
132	20.872	5.8182	0.	682.71
133	21.056	5.8182	0.	642.38
134	21.24	5.8182	0.	602.18
135	21.424	5.8182	0.	562.11
136	21.608	5.8182	0.	522.16
137	21.792	5.8182	0.	482.32
138	21.976	5.8182	0.	442.6
139	22.16	5.8182	0.	403.
140	22.344	5.8182	0.	363.51
141	22.528	5.8182	0.	324.14
142	22.712	5.8182	0.	284.92
143	22.896	5.8182	0.	245.86
144	23.08	5.8182	0.	207.03
145	23.264	5.8182	0.	168.52
146	23.448	5.8182	0.	130.56
147	23.632	5.8182	0.	93.829
148	23.816	5.8182	0.	61.675
149	0.45065	5.6364	0.	1662.8
150	0.63463	5.6364	0.	2035.8
151	0.81861	5.6364	0.	2617.7
152	1.0026	5.6364	0.	3188.3
153	1.1866	5.6364	0.	3694.8
154	1.3705	5.6364	0.	4122.6
155	1.5545	5.6364	0.	4470.8
156	1.7385	5.6364	0.	4745.3
157	1.9225	5.6364	0.	4954.9
158	2.1065	5.6364	0.	5109.3
159	2.2904	5.6364	0.	5217.8
160	2.4744	5.6364	0.	5289.
161	2.6584	5.6364	0.	5330.2
162	2.8424	5.6364	0.	5347.7
163	3.0264	5.6364	0.	5346.6
164	3.2103	5.6364	0.	5331.1
165	3.3943	5.6364	0.	5304.6
166	3.5783	5.6364	0.	5269.6
167	3.7623	5.6364	0.	5228.3
168	3.9463	5.6364	0.	5182.3
169	4.1302	5.6364	0.	5132.7
170	4.3142	5.6364	0.	5080.7
171	4.4982	5.6364	0.	5026.8
172	4.6822	5.6364	0.	4971.6
173	4.8661	5.6364	0.	4915.6
174	5.0501	5.6364	0.	4859.1
175	5.2341	5.6364	0.	4802.3
176	5.4181	5.6364	0.	4745.3
177	5.6021	5.6364	0.	4688.3
178	5.786	5.6364	0.	4631.4
179	5.97	5.6364	0.	4574.7
180	6.154	5.6364	0.	4518.
181	6.338	5.6364	0.	4461.6
182	6.522	5.6364	0.	4405.5
183	6.7059	5.6364	0.	4349.5
184	6.8899	5.6364	0.	4293.8
185	7.0739	5.6364	0.	4238.4
186	7.2579	5.6364	0.	4183.2
187	7.4419	5.6364	0.	4128.2
188	7.6258	5.6364	0.	4073.5
189	7.8098	5.6364	0.	4019.
190	7.9938	5.6364	0.	3964.7
191	8.1778	5.6364	0.	3910.7
192	8.3618	5.6364	0.	3856.9
193	8.5457	5.6364	0.	3803.3
194	8.7297	5.6364	0.	3750.
195	8.9137	5.6364	0.	3696.9
196	9.0977	5.6364	0.	3643.9
197	9.2817	5.6364	0.	3591.2
198	9.4656	5.6364	0.	3538.8
199	9.6496	5.6364	0.	3486.5
200	9.8336	5.6364	0.	3434.4
201	10.018	5.6364	0.	3382.6
202	10.202	5.6364	0.	3330.9
203	10.386	5.6364	0.	3279.5
204	10.57	5.6364	0.	3228.2
205	10.753	5.6364	0.	3177.2
206	10.937	5.6364	0.	3126.4
207	11.121	5.6364	0.	3075.7
208	11.305	5.6364	0.	3025.3
209	11.489	5.6364	0.	2975.1
210	11.673	5.6364	0.	2925.1
211	11.857	5.6364	0.	2875.3
212	12.041	5.6364	0.	2825.6
213	12.225	5.6364	0.	2776.2
214	12.409	5.6364	0.	2727.
215	12.593	5.6364	0.	2678.
216	12.777	5.6364	0.	2629.2
217	12.961	5.6364	0.	2580.6
218	13.145	5.6364	0.	2532.2
219	13.329	5.6364	0.	2484.
220	13.513	5.6364	0.	2436.
221	13.697	5.6364	0.	2388.2
222	13.881	5.6364	0.	2340.6
223	14.065	5.6364	0.	2293.2
224	14.249	5.6364	0.	2246.
225	14.433	5.6364	0.	2199.
226	14.617	5.6364	0.	2152.2
227	14.801	5.6364	0.	2105.7
228	14.985	5.6364	0.	2059.3
229	15.169	5.6364	0.	2013.1
230	15.353	5.6364	0.	1967.1
231	15.537	5.6364	0.	1921.3
232	15.721	5.6364	0.	1875.7
233	15.905	5.6364	0.	1830.4
234	16.089	5.6364	0.	1785.2
235	16.273	5.6364	0.	1740.2
236	16.457	5.6364	0.	1695.4
