Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	1.9	2.1818	0.	-20887
2	1.9	2.3636	0.	-16556
3	1.9	2.5455	0.	-14601
4	1.9	2.7273	0.	-13618
5	1.9	2.9091	0.	-13199
6	1.9	3.0909	0.	-13199
7	1.9	3.2727	0.	-13618
8	1.9	3.4545	0.	-14601
9	1.9	3.6364	0.	-16556
10	1.9	3.8182	0.	-20887
11	2.0667	2.1818	0.	-20428
12	2.0667	2.3636	0.	-16303
13	2.0667	2.5455	0.	-14438
14	2.0667	2.7273	0.	-13485
15	2.0667	2.9091	0.	-13079
16	2.0667	3.0909	0.	-13079
17	2.0667	3.2727	0.	-13485
18	2.0667	3.4545	0.	-14438
19	2.0667	3.6364	0.	-16303
20	2.0667	3.8182	0.	-20428
21	0.17273	0.18182	0.	-2957.4
22	0.17273	0.36364	0.	-3565.1
23	0.17273	0.54545	0.	-4270.9
24	0.17273	0.72727	0.	-4869.8
25	0.17273	0.90909	0.	-5389.
26	0.17273	1.0909	0.	-5852.7
27	0.17273	1.2727	0.	-6278.6
28	0.17273	1.4545	0.	-6674.8
29	0.17273	1.6364	0.	-7044.7
30	0.17273	1.8182	0.	-7388.2
31	0.17273	2.	0.	-7703.
32	0.17273	2.1818	0.	-7984.8
33	0.17273	2.3636	0.	-8226.8
34	0.17273	2.5455	0.	-8420.4
35	0.17273	2.7273	0.	-8556.2
36	0.17273	2.9091	0.	-8626.4
37	0.17273	3.0909	0.	-8626.4
38	0.17273	3.2727	0.	-8556.2
39	0.17273	3.4545	0.	-8420.4
40	0.17273	3.6364	0.	-8226.8
41	0.17273	3.8182	0.	-7984.8
42	0.17273	4.	0.	-7703.
43	0.17273	4.1818	0.	-7388.2
44	0.17273	4.3636	0.	-7044.7
45	0.17273	4.5455	0.	-6674.8
46	0.17273	4.7273	0.	-6278.6
47	0.17273	4.9091	0.	-5852.7
48	0.17273	5.0909	0.	-5389.
49	0.17273	5.2727	0.	-4869.8
50	0.17273	5.4545	0.	-4270.9
51	0.17273	5.6364	0.	-3565.1
52	0.17273	5.8182	0.	-2957.4
53	0.34545	0.18182	0.	-3792.3
54	0.34545	0.36364	0.	-4005.7
55	0.34545	0.54545	0.	-4392.3
56	0.34545	0.72727	0.	-4837.3
57	0.34545	0.90909	0.	-5292.2
58	0.34545	1.0909	0.	-5741.3
59	0.34545	1.2727	0.	-6179.5
60	0.34545	1.4545	0.	-6603.8
61	0.34545	1.6364	0.	-7010.5
62	0.34545	1.8182	0.	-7394.2
63	0.34545	2.	0.	-7748.2
64	0.34545	2.1818	0.	-8064.7
65	0.34545	2.3636	0.	-8334.5
66	0.34545	2.5455	0.	-8547.8
67	0.34545	2.7273	0.	-8695.7
68	0.34545	2.9091	0.	-8771.5
69	0.34545	3.0909	0.	-8771.5
70	0.34545	3.2727	0.	-8695.7
71	0.34545	3.4545	0.	-8547.8
72	0.34545	3.6364	0.	-8334.5
73	0.34545	3.8182	0.	-8064.7
74	0.34545	4.	0.	-7748.2
75	0.34545	4.1818	0.	-7394.2
76	0.34545	4.3636	0.	-7010.5
77	0.34545	4.5455	0.	-6603.8
78	0.34545	4.7273	0.	-6179.5
79	0.34545	4.9091	0.	-5741.3
80	0.34545	5.0909	0.	-5292.2
81	0.34545	5.2727	0.	-4837.3
82	0.34545	5.4545	0.	-4392.3
83	0.34545	5.6364	0.	-4005.7
84	0.34545	5.8182	0.	-3792.3
85	0.51818	0.18182	0.	-4043.6
86	0.51818	0.36364	0.	-4147.8
87	0.51818	0.54545	0.	-4398.6
88	0.51818	0.72727	0.	-4731.5
89	0.51818	0.90909	0.	-5117.6
90	0.51818	1.0909	0.	-5536.1
91	0.51818	1.2727	0.	-5972.1
92	0.51818	1.4545	0.	-6414.1
93	0.51818	1.6364	0.	-6851.1
94	0.51818	1.8182	0.	-7272.
95	0.51818	2.	0.	-7665.
96	0.51818	2.1818	0.	-8018.2
97	0.51818	2.3636	0.	-8319.
98	0.51818	2.5455	0.	-8555.6
99	0.51818	2.7273	0.	-8718.5
100	0.51818	2.9091	0.	-8801.4
101	0.51818	3.0909	0.	-8801.4
102	0.51818	3.2727	0.	-8718.5
103	0.51818	3.4545	0.	-8555.6
104	0.51818	3.6364	0.	-8319.
105	0.51818	3.8182	0.	-8018.2
106	0.51818	4.	0.	-7665.1
