Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	2.2	2.1818	0.	3.4904e-002
2	2.2	2.3636	0.	3.6283e-002
3	2.2	2.5455	0.	3.7254e-002
4	2.2	2.7273	0.	3.7873e-002
5	2.2	2.9091	0.	3.8175e-002
6	2.2	3.0909	0.	3.8175e-002
7	2.2	3.2727	0.	3.7873e-002
8	2.2	3.4545	0.	3.7254e-002
9	2.2	3.6364	0.	3.6283e-002
10	2.2	3.8182	0.	3.4904e-002
11	2.3667	2.1818	0.	4.1786e-002
12	2.3667	2.3636	0.	4.3189e-002
13	2.3667	2.5455	0.	4.4175e-002
14	2.3667	2.7273	0.	4.4805e-002
15	2.3667	2.9091	0.	4.5112e-002
16	2.3667	3.0909	0.	4.5112e-002
17	2.3667	3.2727	0.	4.4805e-002
18	2.3667	3.4545	0.	4.4175e-002
19	2.3667	3.6364	0.	4.3189e-002
20	2.3667	3.8182	0.	4.1786e-002
21	0.18333	0.18182	0.	7.746e-005
22	0.18333	0.36364	0.	1.2456e-004
23	0.18333	0.54545	0.	1.5348e-004
24	0.18333	0.72727	0.	1.7324e-004
25	0.18333	0.90909	0.	1.8812e-004
26	0.18333	1.0909	0.	2.0005e-004
27	0.18333	1.2727	0.	2.0997e-004
28	0.18333	1.4545	0.	2.1844e-004
29	0.18333	1.6364	0.	2.2574e-004
30	0.18333	1.8182	0.	2.3208e-004
31	0.18333	2.	0.	2.3758e-004
32	0.18333	2.1818	0.	2.423e-004
33	0.18333	2.3636	0.	2.4623e-004
34	0.18333	2.5455	0.	2.4933e-004
35	0.18333	2.7273	0.	2.5148e-004
36	0.18333	2.9091	0.	2.5259e-004
37	0.18333	3.0909	0.	2.5259e-004
38	0.18333	3.2727	0.	2.5148e-004
39	0.18333	3.4545	0.	2.4933e-004
40	0.18333	3.6364	0.	2.4623e-004
41	0.18333	3.8182	0.	2.423e-004
42	0.18333	4.	0.	2.3758e-004
43	0.18333	4.1818	0.	2.3208e-004
44	0.18333	4.3636	0.	2.2574e-004
45	0.18333	4.5455	0.	2.1844e-004
46	0.18333	4.7273	0.	2.0997e-004
47	0.18333	4.9091	0.	2.0004e-004
48	0.18333	5.0909	0.	1.8812e-004
49	0.18333	5.2727	0.	1.7324e-004
50	0.18333	5.4545	0.	1.5348e-004
51	0.18333	5.6364	0.	1.2456e-004
52	0.18333	5.8182	0.	7.746e-005
53	0.36667	0.18182	0.	3.3903e-004
54	0.36667	0.36364	0.	4.7478e-004
55	0.36667	0.54545	0.	5.7058e-004
56	0.36667	0.72727	0.	6.4153e-004
57	0.36667	0.90909	0.	6.9717e-004
58	0.36667	1.0909	0.	7.4289e-004
59	0.36667	1.2727	0.	7.8168e-004
60	0.36667	1.4545	0.	8.1523e-004
61	0.36667	1.6364	0.	8.4455e-004
62	0.36667	1.8182	0.	8.7023e-004
63	0.36667	2.	0.	8.9264e-004
64	0.36667	2.1818	0.	9.1191e-004
65	0.36667	2.3636	0.	9.2797e-004
66	0.36667	2.5455	0.	9.4055e-004
67	0.36667	2.7273	0.	9.4926e-004
68	0.36667	2.9091	0.	9.5373e-004
69	0.36667	3.0909	0.	9.5373e-004
70	0.36667	3.2727	0.	9.4926e-004
71	0.36667	3.4545	0.	9.4055e-004
72	0.36667	3.6364	0.	9.2797e-004
73	0.36667	3.8182	0.	9.1191e-004
74	0.36667	4.	0.	8.9264e-004
75	0.36667	4.1818	0.	8.7023e-004
76	0.36667	4.3636	0.	8.4455e-004
77	0.36667	4.5455	0.	8.1523e-004
78	0.36667	4.7273	0.	7.8168e-004
79	0.36667	4.9091	0.	7.4289e-004
80	0.36667	5.0909	0.	6.9717e-004
81	0.36667	5.2727	0.	6.4153e-004
82	0.36667	5.4545	0.	5.7058e-004
83	0.36667	5.6364	0.	4.7478e-004
84	0.36667	5.8182	0.	3.3903e-004
85	0.55	0.18182	0.	8.4953e-004
