Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	6.2	2.1818	0.	1.6863e-003
2	6.2	2.3636	0.	1.3351e-003
3	6.2	2.5455	0.	1.1756e-003
4	6.2	2.7273	0.	1.0931e-003
5	6.2	2.9091	0.	1.0579e-003
6	6.2	3.0909	0.	1.0579e-003
7	6.2	3.2727	0.	1.0931e-003
8	6.2	3.4545	0.	1.1756e-003
9	6.2	3.6364	0.	1.3351e-003
10	6.2	3.8182	0.	1.6863e-003
11	6.3667	2.1818	0.	1.6691e-003
12	6.3667	2.3636	0.	1.3283e-003
13	6.3667	2.5455	0.	1.1696e-003
14	6.3667	2.7273	0.	1.0875e-003
15	6.3667	2.9091	0.	1.0523e-003
16	6.3667	3.0909	0.	1.0523e-003
17	6.3667	3.2727	0.	1.0875e-003
18	6.3667	3.4545	0.	1.1696e-003
19	6.3667	3.6364	0.	1.3283e-003
20	6.3667	3.8182	0.	1.6691e-003
21	6.0176	5.8182	0.	9.9567e-005
22	6.0176	5.6364	0.	1.4513e-004
23	6.0176	5.4545	0.	2.0213e-004
24	6.0176	5.2727	0.	2.6562e-004
25	6.0176	5.0909	0.	3.3716e-004
26	6.0176	4.9091	0.	4.2037e-004
27	6.0176	4.7273	0.	5.2171e-004
28	6.0176	4.5455	0.	6.524e-004
29	6.0176	4.3636	0.	8.3913e-004
30	6.0176	4.1818	0.	1.1131e-003
31	6.0176	4.	0.	1.3223e-003
32	6.0176	3.8182	0.	1.2551e-003
33	6.0176	3.6364	0.	1.1751e-003
34	6.0176	3.4545	0.	1.0887e-003
35	6.0176	3.2727	0.	1.0385e-003
36	6.0176	3.0909	0.	1.0147e-003
37	6.0176	2.9091	0.	1.0147e-003
38	6.0176	2.7273	0.	1.0385e-003
39	6.0176	2.5455	0.	1.0887e-003
40	6.0176	2.3636	0.	1.1751e-003
41	6.0176	2.1818	0.	1.2551e-003
42	6.0176	2.	0.	1.3223e-003
43	6.0176	1.8182	0.	1.1131e-003
44	6.0176	1.6364	0.	8.3913e-004
45	6.0176	1.4545	0.	6.524e-004
46	6.0176	1.2727	0.	5.2171e-004
47	6.0176	1.0909	0.	4.2037e-004
48	6.0176	0.90909	0.	3.3716e-004
49	6.0176	0.72727	0.	2.6562e-004
50	6.0176	0.54545	0.	2.0213e-004
51	6.0176	0.36364	0.	1.4513e-004
52	6.0176	0.18182	0.	9.9567e-005
53	5.8353	5.8182	0.	1.5031e-004
54	5.8353	5.6364	0.	1.7371e-004
55	5.8353	5.4545	0.	2.1366e-004
56	5.8353	5.2727	0.	2.6398e-004
57	5.8353	5.0909	0.	3.2332e-004
58	5.8353	4.9091	0.	3.927e-004
59	5.8353	4.7273	0.	4.7503e-004
60	5.8353	4.5455	0.	5.7246e-004
61	5.8353	4.3636	0.	6.8834e-004
62	5.8353	4.1818	0.	8.0929e-004
63	5.8353	4.	0.	8.8873e-004
64	5.8353	3.8182	0.	9.5035e-004
65	5.8353	3.6364	0.	9.6748e-004
66	5.8353	3.4545	0.	9.6039e-004
67	5.8353	3.2727	0.	9.4615e-004
68	5.8353	3.0909	0.	9.3741e-004
69	5.8353	2.9091	0.	9.3741e-004
70	5.8353	2.7273	0.	9.4615e-004
71	5.8353	2.5455	0.	9.6039e-004
72	5.8353	2.3636	0.	9.6748e-004
73	5.8353	2.1818	0.	9.5035e-004
74	5.8353	2.	0.	8.8873e-004
75	5.8353	1.8182	0.	8.0929e-004
76	5.8353	1.6364	0.	6.8834e-004
77	5.8353	1.4545	0.	5.7246e-004
78	5.8353	1.2727	0.	4.7503e-004
79	5.8353	1.0909	0.	3.927e-004
80	5.8353	0.90909	0.	3.2332e-004
81	5.8353	0.72727	0.	2.6398e-004
82	5.8353	0.54545	0.	2.1366e-004
83	5.8353	0.36364	0.	1.7371e-004
84	5.8353	0.18182	0.	1.5031e-004
85	5.6529	5.8182	0.	2.0486e-004
86	5.6529	5.6364	0.	2.2105e-004
87	5.6529	5.4545	0.	2.5053e-004
88	5.6529	5.2727	0.	2.9039e-004
89	5.6529	5.0909	0.	3.3928e-004
90	5.6529	4.9091	0.	3.9672e-004
91	5.6529	4.7273	0.	4.6251e-004
92	5.6529	4.5455	0.	5.3602e-004
93	5.6529	4.3636	0.	6.1146e-004
94	5.6529	4.1818	0.	6.8173e-004
95	5.6529	4.	0.	7.4132e-004
96	5.6529	3.8182	0.	7.887e-004
97	5.6529	3.6364	0.	8.2416e-004
98	5.6529	3.4545	0.	8.4186e-004
99	5.6529	3.2727	0.	8.4829e-004
100	5.6529	3.0909	0.	8.498e-004
101	5.6529	2.9091	0.	8.498e-004
102	5.6529	2.7273	0.	8.4829e-004
103	5.6529	2.5455	0.	8.4186e-004
104	5.6529	2.3636	0.	8.2416e-004
105	5.6529	2.1818	0.	7.887e-004
106	5.6529	2.	0.	7.4132e-004
107	5.6529	1.8182	0.	6.8173e-004
108	5.6529	1.6364	0.	6.1146e-004
109	5.6529	1.4545	0.	5.3602e-004
110	5.6529	1.2727	0.	4.6251e-004
111	5.6529	1.0909	0.	3.9672e-004
112	5.6529	0.90909	0.	3.3928e-004
113	5.6529	0.72727	0.	2.9039e-004
114	5.6529	0.54545	0.	2.5053e-004
115	5.6529	0.36364	0.	2.2105e-004
116	5.6529	0.18182	0.	2.0486e-004
117	5.4706	5.8182	0.	2.5524e-004
118	5.4706	5.6364	0.	2.6856e-004
119	5.4706	5.4545	0.	2.9162e-004
120	5.4706	5.2727	0.	3.231e-004
121	5.4706	5.0909	0.	3.6216e-004
122	5.4706	4.9091	0.	4.0786e-004
123	5.4706	4.7273	0.	4.5885e-004
124	5.4706	4.5455	0.	5.1294e-004
125	5.4706	4.3636	0.	5.6673e-004
126	5.4706	4.1818	0.	6.1589e-004
127	5.4706	4.	0.	6.5956e-004
128	5.4706	3.8182	0.	6.9742e-004
129	5.4706	3.6364	0.	7.2808e-004
130	5.4706	3.4545	0.	7.5002e-004
131	5.4706	3.2727	0.	7.6293e-004
132	5.4706	3.0909	0.	7.6863e-004
133	5.4706	2.9091	0.	7.6863e-004
134	5.4706	2.7273	0.	7.6293e-004
135	5.4706	2.5455	0.	7.5002e-004
136	5.4706	2.3636	0.	7.2808e-004
137	5.4706	2.1818	0.	6.9742e-004
138	5.4706	2.	0.	6.5956e-004
139	5.4706	1.8182	0.	6.1589e-004
140	5.4706	1.6364	0.	5.6673e-004
141	5.4706	1.4545	0.	5.1294e-004
142	5.4706	1.2727	0.	4.5885e-004
143	5.4706	1.0909	0.	4.0786e-004
144	5.4706	0.90909	0.	3.6216e-004
145	5.4706	0.72727	0.	3.231e-004
146	5.4706	0.54545	0.	2.9162e-004
147	5.4706	0.36364	0.	2.6856e-004
148	5.4706	0.18182	0.	2.5524e-004
149	5.2882	5.8182	0.	3.0029e-004
150	5.2882	5.6364	0.	3.1193e-004
151	5.2882	5.4545	0.	3.3057e-004
152	5.2882	5.2727	0.	3.5548e-004
153	5.2882	5.0909	0.	3.8613e-004
154	5.2882	4.9091	0.	4.2155e-004
155	5.2882	4.7273	0.	4.6029e-004
156	5.2882	4.5455	0.	5.0035e-004
157	5.2882	4.3636	0.	5.3935e-004
158	5.2882	4.1818	0.	5.7558e-004
159	5.2882	4.	0.	6.0828e-004
160	5.2882	3.8182	0.	6.3747e-004
161	5.2882	3.6364	0.	6.6247e-004
162	5.2882	3.4545	0.	6.8185e-004
163	5.2882	3.2727	0.	6.9474e-004
164	5.2882	3.0909	0.	7.0106e-004
165	5.2882	2.9091	0.	7.0106e-004
166	5.2882	2.7273	0.	6.9474e-004
167	5.2882	2.5455	0.	6.8185e-004
168	5.2882	2.3636	0.	6.6247e-004
169	5.2882	2.1818	0.	6.3747e-004
170	5.2882	2.	0.	6.0828e-004
171	5.2882	1.8182	0.	5.7558e-004
172	5.2882	1.6364	0.	5.3935e-004
173	5.2882	1.4545	0.	5.0035e-004
