Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	7.7	2.1818	0.	6.3457e-004
2	7.7	2.3636	0.	5.1084e-004
3	7.7	2.5455	0.	4.4321e-004
4	7.7	2.7273	0.	4.0904e-004
5	7.7	2.9091	0.	3.94e-004
6	7.7	3.0909	0.	3.94e-004
7	7.7	3.2727	0.	4.0904e-004
8	7.7	3.4545	0.	4.4321e-004
9	7.7	3.6364	0.	5.1084e-004
10	7.7	3.8182	0.	6.3457e-004
11	7.8667	2.1818	0.	6.1179e-004
12	7.8667	2.3636	0.	5.0278e-004
13	7.8667	2.5455	0.	4.3736e-004
14	7.8667	2.7273	0.	4.0432e-004
15	7.8667	2.9091	0.	3.8965e-004
16	7.8667	3.0909	0.	3.8965e-004
17	7.8667	3.2727	0.	4.0432e-004
18	7.8667	3.4545	0.	4.3736e-004
19	7.8667	3.6364	0.	5.0278e-004
20	7.8667	3.8182	0.	6.1179e-004
21	7.5167	5.8182	0.	4.1117e-005
22	7.5167	5.6364	0.	6.6507e-005
23	7.5167	5.4545	0.	1.025e-004
24	7.5167	5.2727	0.	1.4411e-004
25	7.5167	5.0909	0.	1.9174e-004
26	7.5167	4.9091	0.	2.474e-004
27	7.5167	4.7273	0.	3.1466e-004
28	7.5167	4.5455	0.	3.9976e-004
29	7.5167	4.3636	0.	5.1703e-004
30	7.5167	4.1818	0.	6.5051e-004
31	7.5167	4.	0.	6.485e-004
32	7.5167	3.8182	0.	4.8388e-004
33	7.5167	3.6364	0.	4.4159e-004
34	7.5167	3.4545	0.	4.0191e-004
35	7.5167	3.2727	0.	3.8177e-004
36	7.5167	3.0909	0.	3.7176e-004
37	7.5167	2.9091	0.	3.7176e-004
38	7.5167	2.7273	0.	3.8177e-004
39	7.5167	2.5455	0.	4.0191e-004
40	7.5167	2.3636	0.	4.4159e-004
41	7.5167	2.1818	0.	4.8388e-004
42	7.5167	2.	0.	6.485e-004
43	7.5167	1.8182	0.	6.5051e-004
44	7.5167	1.6364	0.	5.1703e-004
45	7.5167	1.4545	0.	3.9976e-004
46	7.5167	1.2727	0.	3.1466e-004
47	7.5167	1.0909	0.	2.474e-004
48	7.5167	0.90909	0.	1.9174e-004
49	7.5167	0.72727	0.	1.4411e-004
50	7.5167	0.54545	0.	1.025e-004
51	7.5167	0.36364	0.	6.6507e-005
52	7.5167	0.18182	0.	4.1117e-005
53	7.3333	5.8182	0.	5.2482e-005
54	7.3333	5.6364	0.	6.5377e-005
55	7.3333	5.4545	0.	9.0244e-005
56	7.3333	5.2727	0.	1.2234e-004
57	7.3333	5.0909	0.	1.6011e-004
58	7.3333	4.9091	0.	2.0342e-004
59	7.3333	4.7273	0.	2.5297e-004
60	7.3333	4.5455	0.	3.07e-004
61	7.3333	4.3636	0.	3.6147e-004
62	7.3333	4.1818	0.	3.9553e-004
63	7.3333	4.	0.	3.713e-004
64	7.3333	3.8182	0.	3.5293e-004
65	7.3333	3.6364	0.	3.4567e-004
66	7.3333	3.4545	0.	3.4029e-004
67	7.3333	3.2727	0.	3.3449e-004
68	7.3333	3.0909	0.	3.3125e-004
69	7.3333	2.9091	0.	3.3125e-004
70	7.3333	2.7273	0.	3.3449e-004
71	7.3333	2.5455	0.	3.4029e-004
72	7.3333	2.3636	0.	3.4567e-004
73	7.3333	2.1818	0.	3.5293e-004
74	7.3333	2.	0.	3.713e-004
75	7.3333	1.8182	0.	3.9553e-004
76	7.3333	1.6364	0.	3.6147e-004
77	7.3333	1.4545	0.	3.07e-004
78	7.3333	1.2727	0.	2.5297e-004
79	7.3333	1.0909	0.	2.0342e-004
80	7.3333	0.90909	0.	1.6011e-004
81	7.3333	0.72727	0.	1.2234e-004
82	7.3333	0.54545	0.	9.0244e-005
83	7.3333	0.36364	0.	6.5377e-005
84	7.3333	0.18182	0.	5.2482e-005
85	7.15	5.8182	0.	6.8437e-005
86	7.15	5.6364	0.	7.806e-005
87	7.15	5.4545	0.	9.6148e-005
88	7.15	5.2727	0.	1.2064e-004
89	7.15	5.0909	0.	1.5007e-004
90	7.15	4.9091	0.	1.8326e-004
91	7.15	4.7273	0.	2.1861e-004
92	7.15	4.5455	0.	2.5332e-004
93	7.15	4.3636	0.	2.8024e-004
94	7.15	4.1818	0.	2.9052e-004
95	7.15	4.	0.	2.8675e-004
96	7.15	3.8182	0.	2.7982e-004
97	7.15	3.6364	0.	2.8002e-004
98	7.15	3.4545	0.	2.8341e-004
99	7.15	3.2727	0.	2.853e-004
100	7.15	3.0909	0.	2.8602e-004
101	7.15	2.9091	0.	2.8602e-004
102	7.15	2.7273	0.	2.853e-004
103	7.15	2.5455	0.	2.8341e-004
104	7.15	2.3636	0.	2.8002e-004
105	7.15	2.1818	0.	2.7982e-004
106	7.15	2.	0.	2.8675e-004
107	7.15	1.8182	0.	2.9052e-004
108	7.15	1.6364	0.	2.8024e-004
109	7.15	1.4545	0.	2.5332e-004
110	7.15	1.2727	0.	2.1861e-004
111	7.15	1.0909	0.	1.8326e-004
112	7.15	0.90909	0.	1.5007e-004
113	7.15	0.72727	0.	1.2064e-004
114	7.15	0.54545	0.	9.6148e-005
115	7.15	0.36364	0.	7.806e-005
116	7.15	0.18182	0.	6.8437e-005
117	6.9667	5.8182	0.	8.3273e-005
118	6.9667	5.6364	0.	9.2039e-005
119	6.9667	5.4545	0.	1.0607e-004
120	6.9667	5.2727	0.	1.2455e-004
121	6.9667	5.0909	0.	1.4655e-004
122	6.9667	4.9091	0.	1.7072e-004
123	6.9667	4.7273	0.	1.951e-004
124	6.9667	4.5455	0.	2.1677e-004
125	6.9667	4.3636	0.	2.3187e-004
126	6.9667	4.1818	0.	2.3766e-004
127	6.9667	4.	0.	2.3662e-004
128	6.9667	3.8182	0.	2.3482e-004
129	6.9667	3.6364	0.	2.3625e-004
130	6.9667	3.4545	0.	2.3995e-004
131	6.9667	3.2727	0.	2.4342e-004
132	6.9667	3.0909	0.	2.4529e-004
133	6.9667	2.9091	0.	2.4529e-004
134	6.9667	2.7273	0.	2.4342e-004
135	6.9667	2.5455	0.	2.3995e-004
136	6.9667	2.3636	0.	2.3625e-004
137	6.9667	2.1818	0.	2.3482e-004
138	6.9667	2.	0.	2.3662e-004
139	6.9667	1.8182	0.	2.3766e-004
140	6.9667	1.6364	0.	2.3187e-004
141	6.9667	1.4545	0.	2.1677e-004
142	6.9667	1.2727	0.	1.951e-004
143	6.9667	1.0909	0.	1.7072e-004
144	6.9667	0.90909	0.	1.4655e-004
145	6.9667	0.72727	0.	1.2455e-004
146	6.9667	0.54545	0.	1.0607e-004
147	6.9667	0.36364	0.	9.2039e-005
148	6.9667	0.18182	0.	8.3273e-005
149	6.7833	5.8182	0.	9.6293e-005
150	6.7833	5.6364	0.	1.0468e-004
151	6.7833	5.4545	0.	1.1602e-004
152	6.7833	5.2727	0.	1.3001e-004
153	6.7833	5.0909	0.	1.4606e-004
154	6.7833	4.9091	0.	1.6307e-004
155	6.7833	4.7273	0.	1.7938e-004
156	6.7833	4.5455	0.	1.9296e-004
157	6.7833	4.3636	0.	2.0182e-004
158	6.7833	4.1818	0.	2.0542e-004
159	6.7833	4.	0.	2.0542e-004
160	6.7833	3.8182	0.	2.049e-004
161	6.7833	3.6364	0.	2.0591e-004
162	6.7833	3.4545	0.	2.0835e-004
163	6.7833	3.2727	0.	2.1092e-004
164	6.7833	3.0909	0.	2.1248e-004
165	6.7833	2.9091	0.	2.1248e-004
166	6.7833	2.7273	0.	2.1092e-004
167	6.7833	2.5455	0.	2.0835e-004
168	6.7833	2.3636	0.	2.0591e-004
169	6.7833	2.1818	0.	2.049e-004
170	6.7833	2.	0.	2.0542e-004
171	6.7833	1.8182	0.	2.0542e-004
172	6.7833	1.6364	0.	2.0182e-004
173	6.7833	1.4545	0.	1.9296e-004
174	6.7833	1.2727	0.	1.7938e-004
175	6.7833	1.0909	0.	1.6307e-004
176	6.7833	0.90909	0.	1.4606e-004
177	6.7833	0.72727	0.	1.3001e-004
178	6.7833	0.54545	0.	1.1602e-004
179	6.7833	0.36364	0.	1.0468e-004
180	6.7833	0.18182	0.	9.6293e-005
181	6.6	5.8182	0.	1.0749e-004
182	6.6	5.6364	0.	1.1537e-004
183	6.6	5.4545	0.	1.2468e-004
184	6.6	5.2727	0.	1.3527e-004
185	6.6	5.0909	0.	1.468e-004
186	6.6	4.9091	0.	1.5844e-004
187	6.6	4.7273	0.	1.6908e-004
188	6.6	4.5455	0.	1.7745e-004
189	6.6	4.3636	0.	1.8263e-004
190	6.6	4.1818	0.	1.8463e-004
191	6.6	4.	0.	1.8461e-004
192	6.6	3.8182	0.	1.8451e-004
193	6.6	3.6364	0.	1.8861e-004
194	6.6	3.4545	0.	1.9488e-004
195	6.6	3.2727	0.	1.9911e-004
196	6.6	3.0909	0.	2.0116e-004
197	6.6	2.9091	0.	2.0116e-004
198	6.6	2.7273	0.	1.9911e-004
199	6.6	2.5455	0.	1.9488e-004
200	6.6	2.3636	0.	1.8861e-004
201	6.6	2.1818	0.	1.8451e-004
202	6.6	2.	0.	1.8461e-004
203	6.6	1.8182	0.	1.8463e-004
204	6.6	1.6364	0.	1.8263e-004
205	6.6	1.4545	0.	1.7745e-004
206	6.6	1.2727	0.	1.6908e-004
207	6.6	1.0909	0.	1.5844e-004
208	6.6	0.90909	0.	1.468e-004
209	6.6	0.72727	0.	1.3527e-004
210	6.6	0.54545	0.	1.2468e-004
211	6.6	0.36364	0.	1.1537e-004
212	6.6	0.18182	0.	1.0749e-004
213	6.4167	5.8182	0.	1.1701e-004
214	6.4167	5.6364	0.	1.2416e-004
215	6.4167	5.4545	0.	1.3175e-004
216	6.4167	5.2727	0.	1.3971e-004
217	6.4167	5.0909	0.	1.4783e-004
218	6.4167	4.9091	0.	1.5559e-004
219	6.4167	4.7273	0.	1.6226e-004
220	6.4167	4.5455	0.	1.6716e-004
221	6.4167	4.3636	0.	1.699e-004
222	6.4167	4.1818	0.	1.7069e-004
223	6.4167	4.	0.	1.7074e-004
224	6.4167	3.8182	0.	1.7555e-004
225	6.4167	3.6364	0.	1.8249e-004
226	6.4167	3.4545	0.	1.8798e-004
227	6.4167	3.2727	0.	1.9167e-004
228	6.4167	3.0909	0.	1.935e-004
229	6.4167	2.9091	0.	1.935e-004
230	6.4167	2.7273	0.	1.9167e-004
231	6.4167	2.5455	0.	1.8798e-004
232	6.4167	2.3636	0.	1.8249e-004
233	6.4167	2.1818	0.	1.7555e-004
234	6.4167	2.	0.	1.7074e-004
235	6.4167	1.8182	0.	1.7069e-004
236	6.4167	1.6364	0.	1.699e-004
237	6.4167	1.4545	0.	1.6716e-004
238	6.4167	1.2727	0.	1.6226e-004
239	6.4167	1.0909	0.	1.5559e-004
240	6.4167	0.90909	0.	1.4783e-004
241	6.4167	0.72727	0.	1.3971e-004
242	6.4167	0.54545	0.	1.3175e-004
243	6.4167	0.36364	0.	1.2416e-004
244	6.4167	0.18182	0.	1.1701e-004
245	6.2333	5.8182	0.	1.2506e-004
246	6.2333	5.6364	0.	1.3128e-004
247	6.2333	5.4545	0.	1.3734e-004
248	6.2333	5.2727	0.	1.4321e-004
249	6.2333	5.0909	0.	1.4877e-004
250	6.2333	4.9091	0.	1.537e-004
251	6.2333	4.7273	0.	1.5761e-004
252	6.2333	4.5455	0.	1.6013e-004
253	6.2333	4.3636	0.	1.6121e-004
254	6.2333	4.1818	0.	1.6157e-004
255	6.2333	4.	0.	1.6617e-004
256	6.2333	3.8182	0.	1.7274e-004
257	6.2333	3.6364	0.	1.7853e-004
258	6.2333	3.4545	0.	1.8306e-004
259	6.2333	3.2727	0.	1.8615e-004
