Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	9.1	2.1818	0.	151.65
2	9.1	2.3636	0.	-34.342
3	9.1	2.5455	0.	0.65797
4	9.1	2.7273	0.	-3.8526
5	9.1	2.9091	0.	-2.0202
6	9.1	3.0909	0.	-2.0202
7	9.1	3.2727	0.	-3.8526
8	9.1	3.4545	0.	0.65798
9	9.1	3.6364	0.	-34.342
10	9.1	3.8182	0.	151.65
11	9.2667	2.1818	0.	72.04
12	9.2667	2.3636	0.	-35.232
13	9.2667	2.5455	0.	1.2744
14	9.2667	2.7273	0.	-3.7177
15	9.2667	2.9091	0.	-1.7985
16	9.2667	3.0909	0.	-1.7985
17	9.2667	3.2727	0.	-3.7177
18	9.2667	3.4545	0.	1.2744
19	9.2667	3.6364	0.	-35.232
20	9.2667	3.8182	0.	72.04
21	8.918	5.8182	0.	-19.542
22	8.918	5.6364	0.	-8.9649
23	8.918	5.4545	0.	-6.7972
24	8.918	5.2727	0.	-5.9827
25	8.918	5.0909	0.	-5.856
26	8.918	4.9091	0.	-7.4971
27	8.918	4.7273	0.	-5.4168
28	8.918	4.5455	0.	-21.899
29	8.918	4.3636	0.	17.209
30	8.918	4.1818	0.	-126.43
31	8.918	4.	0.	-524.15
32	8.918	3.8182	0.	20.094
33	8.918	3.6364	0.	-15.698
34	8.918	3.4545	0.	4.7096
35	8.918	3.2727	0.	-3.2764
36	8.918	3.0909	0.	-0.76982
37	8.918	2.9091	0.	-0.76982
38	8.918	2.7273	0.	-3.2764
39	8.918	2.5455	0.	4.7096
40	8.918	2.3636	0.	-15.698
41	8.918	2.1818	0.	20.094
42	8.918	2.	0.	-524.15
43	8.918	1.8182	0.	-126.43
44	8.918	1.6364	0.	17.209
45	8.918	1.4545	0.	-21.899
46	8.918	1.2727	0.	-5.4168
47	8.918	1.0909	0.	-7.4971
48	8.918	0.90909	0.	-5.856
49	8.918	0.72727	0.	-5.9827
50	8.918	0.54545	0.	-6.7972
51	8.918	0.36364	0.	-8.9649
52	8.918	0.18182	0.	-19.542
53	8.736	5.8182	0.	-4.5618
54	8.736	5.6364	0.	-2.1147
55	8.736	5.4545	0.	-0.76363
56	8.736	5.2727	0.	7.7028e-002
57	8.736	5.0909	0.	0.39735
58	8.736	4.9091	0.	0.72796
