Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	9.2	2.1818	0.	-1.324e-003
2	9.2	2.3636	0.	-1.0504e-003
3	9.2	2.5455	0.	-9.2793e-004
4	9.2	2.7273	0.	-8.647e-004
5	9.2	2.9091	0.	-8.3773e-004
6	9.2	3.0909	0.	-8.3773e-004
7	9.2	3.2727	0.	-8.647e-004
8	9.2	3.4545	0.	-9.2793e-004
9	9.2	3.6364	0.	-1.0504e-003
10	9.2	3.8182	0.	-1.324e-003
11	9.3667	2.1818	0.	-1.3163e-003
12	9.3667	2.3636	0.	-1.0473e-003
13	9.3667	2.5455	0.	-9.2325e-004
14	9.3667	2.7273	0.	-8.5963e-004
15	9.3667	2.9091	0.	-8.3246e-004
16	9.3667	3.0909	0.	-8.3246e-004
17	9.3667	3.2727	0.	-8.5963e-004
18	9.3667	3.4545	0.	-9.2325e-004
19	9.3667	3.6364	0.	-1.0473e-003
20	9.3667	3.8182	0.	-1.3163e-003
21	9.016	5.8182	0.	-7.4384e-005
22	9.016	5.6364	0.	-1.0579e-004
23	9.016	5.4545	0.	-1.4369e-004
24	9.016	5.2727	0.	-1.8526e-004
25	9.016	5.0909	0.	-2.3179e-004
26	9.016	4.9091	0.	-2.8591e-004
27	9.016	4.7273	0.	-3.5216e-004
28	9.016	4.5455	0.	-4.3904e-004
29	9.016	4.3636	0.	-5.6483e-004
30	9.016	4.1818	0.	-7.7725e-004
31	9.016	4.	0.	-9.9177e-004
32	9.016	3.8182	0.	-9.8165e-004
33	9.016	3.6364	0.	-9.2624e-004
34	9.016	3.4545	0.	-8.624e-004
35	9.016	3.2727	0.	-8.2475e-004
36	9.016	3.0909	0.	-8.068e-004
37	9.016	2.9091	0.	-8.068e-004
38	9.016	2.7273	0.	-8.2475e-004
39	9.016	2.5455	0.	-8.624e-004
40	9.016	2.3636	0.	-9.2624e-004
41	9.016	2.1818	0.	-9.8165e-004
42	9.016	2.	0.	-9.9177e-004
43	9.016	1.8182	0.	-7.7725e-004
44	9.016	1.6364	0.	-5.6483e-004
45	9.016	1.4545	0.	-4.3903e-004
46	9.016	1.2727	0.	-3.5216e-004
47	9.016	1.0909	0.	-2.8591e-004
48	9.016	0.90909	0.	-2.3179e-004
49	9.016	0.72727	0.	-1.8526e-004
50	9.016	0.54545	0.	-1.4369e-004
51	9.016	0.36364	0.	-1.0579e-004
52	9.016	0.18182	0.	-7.4384e-005
53	8.832	5.8182	0.	-1.1628e-004
54	8.832	5.6364	0.	-1.337e-004
55	8.832	5.4545	0.	-1.6172e-004
56	8.832	5.2727	0.	-1.9648e-004
57	8.832	5.0909	0.	-2.3741e-004
58	8.832	4.9091	0.	-2.8566e-004
59	8.832	4.7273	0.	-3.4395e-004
60	8.832	4.5455	0.	-4.1542e-004
61	8.832	4.3636	0.	-5.057e-004
62	8.832	4.1818	0.	-6.0822e-004
63	8.832	4.	0.	-6.9022e-004
64	8.832	3.8182	0.	-7.5013e-004
65	8.832	3.6364	0.	-7.6934e-004
66	8.832	3.4545	0.	-7.6616e-004
67	8.832	3.2727	0.	-7.5653e-004
68	8.832	3.0909	0.	-7.5033e-004
69	8.832	2.9091	0.	-7.5033e-004
70	8.832	2.7273	0.	-7.5653e-004
71	8.832	2.5455	0.	-7.6616e-004
72	8.832	2.3636	0.	-7.6934e-004
73	8.832	2.1818	0.	-7.5013e-004
74	8.832	2.	0.	-6.9022e-004
75	8.832	1.8182	0.	-6.0822e-004
76	8.832	1.6364	0.	-5.057e-004
77	8.832	1.4545	0.	-4.1542e-004
78	8.832	1.2727	0.	-3.4395e-004
79	8.832	1.0909	0.	-2.8566e-004
80	8.832	0.90909	0.	-2.3741e-004
81	8.832	0.72727	0.	-1.9648e-004
82	8.832	0.54545	0.	-1.6172e-004
83	8.832	0.36364	0.	-1.337e-004
84	8.832	0.18182	0.	-1.1628e-004
85	8.648	5.8182	0.	-1.6026e-004
86	8.648	5.6364	0.	-1.732e-004
87	8.648	5.4545	0.	-1.9493e-004
88	8.648	5.2727	0.	-2.2385e-004
89	8.648	5.0909	0.	-2.5932e-004
90	8.648	4.9091	0.	-3.0149e-004
91	8.648	4.7273	0.	-3.5093e-004
92	8.648	4.5455	0.	-4.0821e-004
93	8.648	4.3636	0.	-4.7049e-004
94	8.648	4.1818	0.	-5.3292e-004
95	8.648	4.	0.	-5.8813e-004
96	8.648	3.8182	0.	-6.3137e-004
97	8.648	3.6364	0.	-6.6224e-004
98	8.648	3.4545	0.	-6.7802e-004
99	8.648	3.2727	0.	-6.8418e-004
100	8.648	3.0909	0.	-6.859e-004
101	8.648	2.9091	0.	-6.859e-004
102	8.648	2.7273	0.	-6.8418e-004
103	8.648	2.5455	0.	-6.7802e-004
104	8.648	2.3636	0.	-6.6224e-004
105	8.648	2.1818	0.	-6.3137e-004
106	8.648	2.	0.	-5.8813e-004
107	8.648	1.8182	0.	-5.3292e-004
108	8.648	1.6364	0.	-4.7049e-004
109	8.648	1.4545	0.	-4.0821e-004
110	8.648	1.2727	0.	-3.5093e-004
111	8.648	1.0909	0.	-3.0149e-004
112	8.648	0.90909	0.	-2.5932e-004
113	8.648	0.72727	0.	-2.2385e-004
114	8.648	0.54545	0.	-1.9493e-004
115	8.648	0.36364	0.	-1.732e-004
116	8.648	0.18182	0.	-1.6026e-004
117	8.464	5.8182	0.	-2.011e-004
118	8.464	5.6364	0.	-2.123e-004
119	8.464	5.4545	0.	-2.3012e-004
120	8.464	5.2727	0.	-2.5404e-004
121	8.464	5.0909	0.	-2.8374e-004
122	8.464	4.9091	0.	-3.1888e-004
123	8.464	4.7273	0.	-3.5897e-004
124	8.464	4.5455	0.	-4.0292e-004
125	8.464	4.3636	0.	-4.4852e-004
126	8.464	4.1818	0.	-4.9209e-004
127	8.464	4.	0.	-5.314e-004
128	8.464	3.8182	0.	-5.6493e-004
129	8.464	3.6364	0.	-5.9145e-004
130	8.464	3.4545	0.	-6.1015e-004
131	8.464	3.2727	0.	-6.2118e-004
132	8.464	3.0909	0.	-6.261e-004
133	8.464	2.9091	0.	-6.261e-004
134	8.464	2.7273	0.	-6.2118e-004
135	8.464	2.5455	0.	-6.1015e-004
136	8.464	2.3636	0.	-5.9145e-004
137	8.464	2.1818	0.	-5.6493e-004
138	8.464	2.	0.	-5.314e-004
139	8.464	1.8182	0.	-4.9209e-004
140	8.464	1.6364	0.	-4.4852e-004
141	8.464	1.4545	0.	-4.0292e-004
142	8.464	1.2727	0.	-3.5897e-004
143	8.464	1.0909	0.	-3.1888e-004
144	8.464	0.90909	0.	-2.8374e-004
145	8.464	0.72727	0.	-2.5404e-004
146	8.464	0.54545	0.	-2.3012e-004
147	8.464	0.36364	0.	-2.123e-004
148	8.464	0.18182	0.	-2.011e-004
149	8.28	5.8182	0.	-2.3792e-004
150	8.28	5.6364	0.	-2.481e-004
151	8.28	5.4545	0.	-2.6316e-004
152	8.28	5.2727	0.	-2.8296e-004
153	8.28	5.0909	0.	-3.0731e-004
154	8.28	4.9091	0.	-3.3573e-004
155	8.28	4.7273	0.	-3.6741e-004
156	8.28	4.5455	0.	-4.0106e-004
157	8.28	4.3636	0.	-4.3485e-004
158	8.28	4.1818	0.	-4.6703e-004
159	8.28	4.	0.	-4.9628e-004
160	8.28	3.8182	0.	-5.2201e-004
