Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	10.6	2.1818	0.	1449.6
2	10.6	2.3636	0.	1145.9
3	10.6	2.5455	0.	962.6
4	10.6	2.7273	0.	865.29
5	10.6	2.9091	0.	821.44
6	10.6	3.0909	0.	821.44
7	10.6	3.2727	0.	865.29
8	10.6	3.4545	0.	962.6
9	10.6	3.6364	0.	1145.9
10	10.6	3.8182	0.	1449.6
11	10.767	2.1818	0.	1172.9
12	10.767	2.3636	0.	1059.5
13	10.767	2.5455	0.	906.15
14	10.767	2.7273	0.	821.89
15	10.767	2.9091	0.	782.66
16	10.767	3.0909	0.	782.66
17	10.767	3.2727	0.	821.89
18	10.767	3.4545	0.	906.15
19	10.767	3.6364	0.	1059.5
20	10.767	3.8182	0.	1172.9
21	10.417	5.8182	0.	108.96
22	10.417	5.6364	0.	243.66
23	10.417	5.4545	0.	448.61
24	10.417	5.2727	0.	692.88
25	10.417	5.0909	0.	976.31
26	10.417	4.9091	0.	1307.9
27	10.417	4.7273	0.	1707.5
28	10.417	4.5455	0.	2194.7
29	10.417	4.3636	0.	2869.9
30	10.417	4.1818	0.	3347.3
31	10.417	4.	0.	2453.1
32	10.417	3.8182	0.	1203.8
33	10.417	3.6364	0.	972.11
34	10.417	3.4545	0.	834.05
35	10.417	3.2727	0.	774.74
36	10.417	3.0909	0.	745.76
37	10.417	2.9091	0.	745.76
38	10.417	2.7273	0.	774.74
39	10.417	2.5455	0.	834.05
40	10.417	2.3636	0.	972.11
41	10.417	2.1818	0.	1203.8
42	10.417	2.	0.	2453.1
43	10.417	1.8182	0.	3347.3
44	10.417	1.6364	0.	2869.9
45	10.417	1.4545	0.	2194.7
46	10.417	1.2727	0.	1707.5
47	10.417	1.0909	0.	1307.9
48	10.417	0.90909	0.	976.31
49	10.417	0.72727	0.	692.88
50	10.417	0.54545	0.	448.61
51	10.417	0.36364	0.	243.66
52	10.417	0.18182	0.	108.96
53	10.234	5.8182	0.	79.476
54	10.234	5.6364	0.	149.96
55	10.234	5.4545	0.	290.71
56	10.234	5.2727	0.	474.53
57	10.234	5.0909	0.	690.36
58	10.234	4.9091	0.	934.
59	10.234	4.7273	0.	1203.2
60	10.234	4.5455	0.	1472.6
61	10.234	4.3636	0.	1691.8
62	10.234	4.1818	0.	1683.6
63	10.234	4.	0.	1221.5
64	10.234	3.8182	0.	823.31
65	10.234	3.6364	0.	662.21
66	10.234	3.4545	0.	621.45
67	10.234	3.2727	0.	599.46
68	10.234	3.0909	0.	590.67
69	10.234	2.9091	0.	590.67
70	10.234	2.7273	0.	599.46
71	10.234	2.5455	0.	621.45
72	10.234	2.3636	0.	662.21
73	10.234	2.1818	0.	823.31
74	10.234	2.	0.	1221.5
75	10.234	1.8182	0.	1683.6
76	10.234	1.6364	0.	1691.8
77	10.234	1.4545	0.	1472.6
78	10.234	1.2727	0.	1203.2
79	10.234	1.0909	0.	934.
80	10.234	0.90909	0.	690.36
81	10.234	0.72727	0.	474.53
82	10.234	0.54545	0.	290.71
83	10.234	0.36364	0.	149.96
84	10.234	0.18182	0.	79.476
85	10.052	5.8182	0.	78.837
86	10.052	5.6364	0.	136.89
87	10.052	5.4545	0.	239.94
88	10.052	5.2727	0.	376.97
89	10.052	5.0909	0.	537.89
90	10.052	4.9091	0.	712.31
91	10.052	4.7273	0.	884.39
92	10.052	4.5455	0.	1027.1
93	10.052	4.3636	0.	1080.7
94	10.052	4.1818	0.	983.56
95	10.052	4.	0.	766.12
96	10.052	3.8182	0.	555.2
97	10.052	3.6364	0.	452.21
98	10.052	3.4545	0.	423.61
99	10.052	3.2727	0.	418.36
100	10.052	3.0909	0.	418.45
101	10.052	2.9091	0.	418.45
102	10.052	2.7273	0.	418.36
103	10.052	2.5455	0.	423.61
104	10.052	2.3636	0.	452.21
105	10.052	2.1818	0.	555.2
106	10.052	2.	0.	766.12
