Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	18.2	2.1818	0.	1.2914e-004
2	18.2	2.3636	0.	9.7906e-005
3	18.2	2.5455	0.	8.85e-005
4	18.2	2.7273	0.	8.2978e-005
5	18.2	2.9091	0.	8.0763e-005
6	18.2	3.0909	0.	8.0763e-005
7	18.2	3.2727	0.	8.2978e-005
8	18.2	3.4545	0.	8.85e-005
9	18.2	3.6364	0.	9.7906e-005
10	18.2	3.8182	0.	1.2914e-004
11	18.367	2.1818	0.	1.3193e-004
12	18.367	2.3636	0.	1.0035e-004
13	18.367	2.5455	0.	8.9487e-005
14	18.367	2.7273	0.	8.3292e-005
15	18.367	2.9091	0.	8.0844e-005
16	18.367	3.0909	0.	8.0844e-005
17	18.367	3.2727	0.	8.3292e-005
18	18.367	3.4545	0.	8.9487e-005
19	18.367	3.6364	0.	1.0035e-004
20	18.367	3.8182	0.	1.3193e-004
21	18.016	5.8182	0.	6.345e-006
22	18.016	5.6364	0.	7.5386e-006
23	18.016	5.4545	0.	7.9355e-006
24	18.016	5.2727	0.	7.9517e-006
25	18.016	5.0909	0.	7.7442e-006
26	18.016	4.9091	0.	7.3911e-006
27	18.016	4.7273	0.	7.2211e-006
28	18.016	4.5455	0.	7.0432e-006
29	18.016	4.3636	0.	9.6149e-006
30	18.016	4.1818	0.	1.9355e-005
31	18.016	4.	0.	4.7539e-005
32	18.016	3.8182	0.	8.7601e-005
33	18.016	3.6364	0.	8.6222e-005
34	18.016	3.4545	0.	8.2986e-005
35	18.016	3.2727	0.	7.9885e-005
36	18.016	3.0909	0.	7.8589e-005
37	18.016	2.9091	0.	7.8589e-005
38	18.016	2.7273	0.	7.9885e-005
39	18.016	2.5455	0.	8.2986e-005
40	18.016	2.3636	0.	8.6222e-005
41	18.016	2.1818	0.	8.7601e-005
42	18.016	2.	0.	4.7539e-005
43	18.016	1.8182	0.	1.9355e-005
44	18.016	1.6364	0.	9.6149e-006
45	18.016	1.4545	0.	7.0432e-006
46	18.016	1.2727	0.	7.2211e-006
47	18.016	1.0909	0.	7.3911e-006
48	18.016	0.90909	0.	7.7442e-006
49	18.016	0.72727	0.	7.9517e-006
50	18.016	0.54545	0.	7.9355e-006
51	18.016	0.36364	0.	7.5386e-006
52	18.016	0.18182	0.	6.345e-006
53	17.832	5.8182	0.	1.2677e-005
54	17.832	5.6364	0.	1.3158e-005
55	17.832	5.4545	0.	1.3534e-005
56	17.832	5.2727	0.	1.3862e-005
57	17.832	5.0909	0.	1.4254e-005
58	17.832	4.9091	0.	1.492e-005
59	17.832	4.7273	0.	1.6181e-005
60	17.832	4.5455	0.	1.8858e-005
61	17.832	4.3636	0.	2.4706e-005
62	17.832	4.1818	0.	3.6356e-005
63	17.832	4.	0.	5.5278e-005
64	17.832	3.8182	0.	6.9173e-005
65	17.832	3.6364	0.	7.4251e-005
66	17.832	3.4545	0.	7.5664e-005
67	17.832	3.2727	0.	7.5387e-005
68	17.832	3.0909	0.	7.5042e-005
69	17.832	2.9091	0.	7.5042e-005
70	17.832	2.7273	0.	7.5387e-005
71	17.832	2.5455	0.	7.5664e-005
72	17.832	2.3636	0.	7.4251e-005
73	17.832	2.1818	0.	6.9173e-005
74	17.832	2.	0.	5.5278e-005
75	17.832	1.8182	0.	3.6356e-005
76	17.832	1.6364	0.	2.4706e-005
77	17.832	1.4545	0.	1.8858e-005
78	17.832	1.2727	0.	1.6181e-005
79	17.832	1.0909	0.	1.492e-005
80	17.832	0.90909	0.	1.4254e-005
81	17.832	0.72727	0.	1.3862e-005
82	17.832	0.54545	0.	1.3534e-005
83	17.832	0.36364	0.	1.3158e-005
84	17.832	0.18182	0.	1.2677e-005
85	17.648	5.8182	0.	1.8417e-005
86	17.648	5.6364	0.	1.8558e-005
87	17.648	5.4545	0.	1.8887e-005
88	17.648	5.2727	0.	1.9393e-005
89	17.648	5.0909	0.	2.0182e-005
90	17.648	4.9091	0.	2.1445e-005
91	17.648	4.7273	0.	2.3552e-005
92	17.648	4.5455	0.	2.7074e-005
93	17.648	4.3636	0.	3.2549e-005
94	17.648	4.1818	0.	4.1241e-005
95	17.648	4.	0.	5.1197e-005
96	17.648	3.8182	0.	6.0344e-005
97	17.648	3.6364	0.	6.6753e-005
98	17.648	3.4545	0.	6.9522e-005
99	17.648	3.2727	0.	7.0711e-005
100	17.648	3.0909	0.	7.1087e-005
101	17.648	2.9091	0.	7.1087e-005
102	17.648	2.7273	0.	7.0711e-005
103	17.648	2.5455	0.	6.9522e-005
104	17.648	2.3636	0.	6.6753e-005
105	17.648	2.1818	0.	6.0344e-005
106	17.648	2.	0.	5.1197e-005
107	17.648	1.8182	0.	4.1241e-005
108	17.648	1.6364	0.	3.2549e-005
109	17.648	1.4545	0.	2.7074e-005
110	17.648	1.2727	0.	2.3552e-005
111	17.648	1.0909	0.	2.1445e-005
112	17.648	0.90909	0.	2.0182e-005
113	17.648	0.72727	0.	1.9393e-005
114	17.648	0.54545	0.	1.8887e-005
115	17.648	0.36364	0.	1.8558e-005
116	17.648	0.18182	0.	1.8417e-005
117	17.465	5.8182	0.	2.3854e-005
118	17.465	5.6364	0.	2.381e-005
119	17.465	5.4545	0.	2.4097e-005
120	17.465	5.2727	0.	2.4697e-005
121	17.465	5.0909	0.	2.5695e-005
122	17.465	4.9091	0.	2.7249e-005
123	17.465	4.7273	0.	2.9594e-005
124	17.465	4.5455	0.	3.3042e-005
125	17.465	4.3636	0.	3.7954e-005
126	17.465	4.1818	0.	4.413e-005
127	17.465	4.	0.	5.1044e-005
128	17.465	3.8182	0.	5.7365e-005
129	17.465	3.6364	0.	6.2038e-005
130	17.465	3.4545	0.	6.5087e-005
131	17.465	3.2727	0.	6.6736e-005
132	17.465	3.0909	0.	6.7436e-005
133	17.465	2.9091	0.	6.7436e-005
134	17.465	2.7273	0.	6.6736e-005
135	17.465	2.5455	0.	6.5087e-005
136	17.465	2.3636	0.	6.2038e-005
137	17.465	2.1818	0.	5.7365e-005
138	17.465	2.	0.	5.1044e-005
139	17.465	1.8182	0.	4.413e-005
140	17.465	1.6364	0.	3.7954e-005
141	17.465	1.4545	0.	3.3042e-005
142	17.465	1.2727	0.	2.9594e-005
143	17.465	1.0909	0.	2.7249e-005
144	17.465	0.90909	0.	2.5695e-005
145	17.465	0.72727	0.	2.4697e-005
146	17.465	0.54545	0.	2.4097e-005
147	17.465	0.36364	0.	2.381e-005
148	17.465	0.18182	0.	2.3854e-005
149	17.281	5.8182	0.	2.8907e-005
150	17.281	5.6364	0.	2.875e-005
151	17.281	5.4545	0.	2.899e-005
152	17.281	5.2727	0.	2.9603e-005
153	17.281	5.0909	0.	3.0654e-005
154	17.281	4.9091	0.	3.2241e-005
155	17.281	4.7273	0.	3.4502e-005
156	17.281	4.5455	0.	3.7572e-005
157	17.281	4.3636	0.	4.1496e-005
158	17.281	4.1818	0.	4.6145e-005
159	17.281	4.	0.	5.1047e-005
160	17.281	3.8182	0.	5.5625e-005
161	17.281	3.6364	0.	5.9384e-005
162	17.281	3.4545	0.	6.2052e-005
163	17.281	3.2727	0.	6.3689e-005
164	17.281	3.0909	0.	6.4453e-005
165	17.281	2.9091	0.	6.4453e-005
166	17.281	2.7273	0.	6.3689e-005
167	17.281	2.5455	0.	6.2052e-005
168	17.281	2.3636	0.	5.9384e-005
169	17.281	2.1818	0.	5.5625e-005
170	17.281	2.	0.	5.1047e-005
171	17.281	1.8182	0.	4.6145e-005
172	17.281	1.6364	0.	4.1496e-005
173	17.281	1.4545	0.	3.7572e-005
174	17.281	1.2727	0.	3.4502e-005
175	17.281	1.0909	0.	3.2241e-005
176	17.281	0.90909	0.	3.0654e-005
177	17.281	0.72727	0.	2.9603e-005
178	17.281	0.54545	0.	2.899e-005
179	17.281	0.36364	0.	2.875e-005
180	17.281	0.18182	0.	2.8907e-005
181	17.097	5.8182	0.	3.3558e-005
182	17.097	5.6364	0.	3.333e-005
183	17.097	5.4545	0.	3.3515e-005
184	17.097	5.2727	0.	3.4086e-005
185	17.097	5.0909	0.	3.5084e-005
186	17.097	4.9091	0.	3.6562e-005
187	17.097	4.7273	0.	3.858e-005
188	17.097	4.5455	0.	4.1179e-005
189	17.097	4.3636	0.	4.4328e-005
190	17.097	4.1818	0.	4.7872e-005
191	17.097	4.	0.	5.154e-005
192	17.097	3.8182	0.	5.4982e-005
193	17.097	3.6364	0.	5.789e-005
194	17.097	3.4545	0.	6.0091e-005
195	17.097	3.2727	0.	6.1531e-005
196	17.097	3.0909	0.	6.2233e-005
197	17.097	2.9091	0.	6.2233e-005
198	17.097	2.7273	0.	6.1531e-005
199	17.097	2.5455	0.	6.0091e-005
200	17.097	2.3636	0.	5.789e-005
201	17.097	2.1818	0.	5.4982e-005
202	17.097	2.	0.	5.154e-005
203	17.097	1.8182	0.	4.7872e-005
204	17.097	1.6364	0.	4.4328e-005
205	17.097	1.4545	0.	4.1179e-005
206	17.097	1.2727	0.	3.858e-005
207	17.097	1.0909	0.	3.6562e-005
208	17.097	0.90909	0.	3.5084e-005
209	17.097	0.72727	0.	3.4086e-005
210	17.097	0.54545	0.	3.3515e-005
211	17.097	0.36364	0.	3.333e-005
212	17.097	0.18182	0.	3.3558e-005
213	16.913	5.8182	0.	3.7796e-005
214	16.913	5.6364	0.	3.7525e-005
215	16.913	5.4545	0.	3.7651e-005
216	16.913	5.2727	0.	3.8147e-005
217	16.913	5.0909	0.	3.9035e-005
218	16.913	4.9091	0.	4.0333e-005
219	16.913	4.7273	0.	4.206e-005
220	16.913	4.5455	0.	4.4206e-005
221	16.913	4.3636	0.	4.6714e-005
222	16.913	4.1818	0.	4.946e-005
223	16.913	4.	0.	5.2258e-005
224	16.913	3.8182	0.	5.4892e-005
225	16.913	3.6364	0.	5.7165e-005
226	16.913	3.4545	0.	5.8936e-005
227	16.913	3.2727	0.	6.0132e-005
228	16.913	3.0909	0.	6.073e-005
229	16.913	2.9091	0.	6.073e-005
230	16.913	2.7273	0.	6.0132e-005
231	16.913	2.5455	0.	5.8936e-005
232	16.913	2.3636	0.	5.7165e-005
233	16.913	2.1818	0.	5.4892e-005
234	16.913	2.	0.	5.2258e-005
235	16.913	1.8182	0.	4.946e-005
236	16.913	1.6364	0.	4.6714e-005
237	16.913	1.4545	0.	4.4206e-005
238	16.913	1.2727	0.	4.206e-005
239	16.913	1.0909	0.	4.0333e-005
240	16.913	0.90909	0.	3.9035e-005
241	16.913	0.72727	0.	3.8147e-005
242	16.913	0.54545	0.	3.7651e-005
243	16.913	0.36364	0.	3.7525e-005
244	16.913	0.18182	0.	3.7796e-005
245	16.729	5.8182	0.	4.164e-005
246	16.729	5.6364	0.	4.1344e-005
247	16.729	5.4545	0.	4.1413e-005
248	16.729	5.2727	0.	4.1819e-005
249	16.729	5.0909	0.	4.2572e-005
250	16.729	4.9091	0.	4.3671e-005
251	16.729	4.7273	0.	4.5109e-005
252	16.729	4.5455	0.	4.6856e-005
253	16.729	4.3636	0.	4.8852e-005
254	16.729	4.1818	0.	5.1e-005
255	16.729	4.	0.	5.3166e-005
256	16.729	3.8182	0.	5.5206e-005
257	16.729	3.6364	0.	5.6982e-005
258	16.729	3.4545	0.	5.8388e-005
259	16.729	3.2727	0.	5.9355e-005
260	16.729	3.0909	0.	5.9845e-005
261	16.729	2.9091	0.	5.9845e-005
262	16.729	2.7273	0.	5.9355e-005
263	16.729	2.5455	0.	5.8388e-005
264	16.729	2.3636	0.	5.6982e-005
265	16.729	2.1818	0.	5.5206e-005
266	16.729	2.	0.	5.3166e-005
267	16.729	1.8182	0.	5.1e-005
268	16.729	1.6364	0.	4.8852e-005
269	16.729	1.4545	0.	4.6856e-005
270	16.729	1.2727	0.	4.5109e-005
271	16.729	1.0909	0.	4.3671e-005
272	16.729	0.90909	0.	4.2572e-005
273	16.729	0.72727	0.	4.1819e-005
274	16.729	0.54545	0.	4.1413e-005
275	16.729	0.36364	0.	4.1344e-005
276	16.729	0.18182	0.	4.164e-005
277	16.545	5.8182	0.	4.5119e-005
278	16.545	5.6364	0.	4.4812e-005
279	16.545	5.4545	0.	4.483e-005
280	16.545	5.2727	0.	4.5146e-005
281	16.545	5.0909	0.	4.5763e-005
282	16.545	4.9091	0.	4.6668e-005
283	16.545	4.7273	0.	4.7842e-005
284	16.545	4.5455	0.	4.925e-005
285	16.545	4.3636	0.	5.0837e-005
286	16.545	4.1818	0.	5.2524e-005
287	16.545	4.	0.	5.4215e-005
288	16.545	3.8182	0.	5.5805e-005
289	16.545	3.6364	0.	5.7196e-005
290	16.545	3.4545	0.	5.8307e-005
291	16.545	3.2727	0.	5.9077e-005
292	16.545	3.0909	0.	5.947e-005
293	16.545	2.9091	0.	5.947e-005
294	16.545	2.7273	0.	5.9077e-005
295	16.545	2.5455	0.	5.8307e-005
296	16.545	2.3636	0.	5.7196e-005
297	16.545	2.1818	0.	5.5805e-005
298	16.545	2.	0.	5.4215e-005
299	16.545	1.8182	0.	5.2524e-005
300	16.545	1.6364	0.	5.0837e-005
301	16.545	1.4545	0.	4.925e-005
302	16.545	1.2727	0.	4.7842e-005
303	16.545	1.0909	0.	4.6668e-005
304	16.545	0.90909	0.	4.5763e-005
305	16.545	0.72727	0.	4.5146e-005
306	16.545	0.54545	0.	4.483e-005
307	16.545	0.36364	0.	4.4812e-005
308	16.545	0.18182	0.	4.5119e-005
309	16.362	5.8182	0.	4.8274e-005
310	16.362	5.6364	0.	4.7966e-005
311	16.362	5.4545	0.	4.7942e-005
312	16.362	5.2727	0.	4.8175e-005
