Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,23.1,2.1818,0,0.00010009,1000.2,6.1929e-05,374.58,1.4124e-05,15.397,-8.8493e-05,-755.63,2.1269
2,23.1,2.3636,0,6.1012e-05,609.7,3.2071e-05,147.39,1.2247e-05,-1.5623,-5.715e-05,-522.98,2.1269
3,23.1,2.5455,0,4.9255e-05,492.21,2.3952e-05,94.699,1.1313e-05,-0.26432,-4.6956e-05,-438.07,2.127
4,23.1,2.7273,0,4.3603e-05,435.72,2.0332e-05,72.828,1.0611e-05,-0.21342,-4.1905e-05,-394.8,2.127
5,23.1,2.9091,0,4.1269e-05,412.4,1.8888e-05,64.475,1.0286e-05,-0.16005,-3.9793e-05,-376.43,2.127
6,23.1,3.0909,0,4.1269e-05,412.4,1.8888e-05,64.475,1.0286e-05,-0.16004,-3.9793e-05,-376.43,2.127
7,23.1,3.2727,0,4.3603e-05,435.72,2.0332e-05,72.828,1.0611e-05,-0.21342,-4.1905e-05,-394.8,2.127
8,23.1,3.4545,0,4.9255e-05,492.21,2.3952e-05,94.699,1.1313e-05,-0.26432,-4.6956e-05,-438.07,2.127
9,23.1,3.6364,0,6.1012e-05,609.7,3.2071e-05,147.39,1.2247e-05,-1.5623,-5.715e-05,-522.98,2.1269
10,23.1,3.8182,0,0.00010009,1000.2,6.1929e-05,374.58,1.4124e-05,15.397,-8.8493e-05,-755.63,2.1269
11,23.45,2,0,7.144e-05,713.91,2.5767e-05,5.8926,2.0339e-05,-34.889,-7.1846e-05,-727.53,2.1756
12,23.633,2,0,5.3531e-05,534.94,1.9288e-05,18.055,1.6551e-05,-2.5119,-5.3237e-05,-526.87,2.2012
13,23.817,2,0,4.6484e-05,464.52,1.8863e-05,41.06,1.3011e-05,-2.9149,-4.5678e-05,-443.88,2.2268
14,23.817,4,0,4.6484e-05,464.52,1.8863e-05,41.06,1.3011e-05,-2.9149,-4.5678e-05,-443.88,2.2268
15,23.633,4,0,5.3531e-05,534.94,1.9288e-05,18.055,1.6551e-05,-2.5119,-5.3237e-05,-526.87,2.2012
16,23.45,4,0,7.144e-05,713.91,2.5767e-05,5.8926,2.0339e-05,-34.889,-7.1846e-05,-727.53,2.1756
17,22.915,5.8182,0,6.4404e-06,64.359,3.2553e-06,13.915,1.3886e-06,-0.11121,-6.0898e-06,-56.301,2.0986
18,22.915,5.6364,0,1.0055e-05,100.48,6.4857e-06,40.381,1.1082e-06,-0.023882,-8.7389e-06,-74.011,2.0989
19,22.915,5.4545,0,1.4754e-05,147.44,1.0704e-05,75.933,5.9308e-07,-0.035424,-1.1913e-05,-94,2.0992
20,22.915,5.2727,0,2.0183e-05,201.7,1.5615e-05,118.17,-1.192e-07,-0.052766,-1.538e-05,-114.72,2.0995
21,22.915,5.0909,0,2.6363e-05,263.45,2.1245e-05,167.27,-1.0237e-06,-0.043019,-1.9172e-05,-136.4,2.0997
22,22.915,4.9091,0,3.3482e-05,334.59,2.7764e-05,224.64,-2.1533e-06,-0.14982,-2.3413e-05,-159.88,2.1
23,22.915,4.7273,0,4.1915e-05,418.86,3.5496e-05,293.23,-3.5043e-06,0.19805,-2.8354e-05,-186.51,2.1003
24,22.915,4.5455,0,5.2513e-05,524.77,4.5167e-05,378.13,-5.3087e-06,-1.1261,-3.4543e-05,-220.78,2.1005
25,22.915,4.3636,0,6.6629e-05,665.83,5.7878e-05,491.3,-7.0658e-06,3.3383,-4.3075e-05,-267.22,2.1007
26,22.915,4.1818,0,8.852e-05,884.59,7.6064e-05,635.61,-8.9658e-06,-3.2738,-5.831e-05,-374.03,2.1009
27,22.915,4,0,9.642e-05,963.54,7.62e-05,574.4,-4.258e-06,-30.129,-7.1686e-05,-536.76,2.1011
28,22.915,3.8182,0,7.6517e-05,764.64,5.2805e-05,355.95,5.5947e-06,1.2345,-6.3994e-05,-521.63,2.1012
29,22.915,3.6364,0,5.9298e-05,592.57,3.5174e-05,195.28,8.8526e-06,-2.4826,-5.3487e-05,-470.88,2.1012
30,22.915,3.4545,0,5.1101e-05,510.65,2.7476e-05,132.11,9.8859e-06,-0.049187,-4.7554e-05,-431.63,2.1013
31,22.915,3.2727,0,4.7021e-05,469.89,2.4006e-05,104.92,9.9951e-06,-0.35991,-4.4349e-05,-408.68,2.1013
32,22.915,3.0909,0,4.5248e-05,452.17,2.2551e-05,94.018,1.0016e-05,-0.1685,-4.2909e-05,-397.83,2.1013
33,22.915,2.9091,0,4.5248e-05,452.17,2.2551e-05,94.018,1.0016e-05,-0.1685,-4.2909e-05,-397.83,2.1013
34,22.915,2.7273,0,4.7021e-05,469.89,2.4006e-05,104.92,9.9951e-06,-0.35991,-4.4349e-05,-408.68,2.1013
35,22.915,2.5455,0,5.1101e-05,510.65,2.7476e-05,132.11,9.8859e-06,-0.049188,-4.7554e-05,-431.63,2.1013
36,22.915,2.3636,0,5.9298e-05,592.57,3.5174e-05,195.28,8.8526e-06,-2.4826,-5.3487e-05,-470.88,2.1012
37,22.915,2.1818,0,7.6517e-05,764.64,5.2805e-05,355.95,5.5947e-06,1.2345,-6.3994e-05,-521.63,2.1012
