Strain 1 (in/in),Strain 2 (in/in),Strain 3 (in/in),Strain 4 (in/in),Strain 5 (in/in),Strain 6 (in/in),Strain 7 (in/in),CutLocation
0.000386859331494712,0.000335072719743323,0.000333918431517789,0.000248166060089323,0.000158127433905177,0.000153050506205845,4.76855678787938e-05,0.1
0.000412348915879364,0.000404156000167511,0.000284325033592215,0.000245653788146741,0.000167012732501491,0.000131665204341166,4.77590687073086e-05,0.2
0.000378774600785427,0.000353441899154652,0.000361979953077078,0.000242343442398076,0.000159784351281975,0.000146840942713668,4.77698172187146e-05,0.3
0.000440949823130526,0.000375572829416347,0.000283412888968095,0.000254899064091282,0.000163320090759582,0.000134870687430296,4.76738819342223e-05,0.4
0.000384336445623461,0.000403283534361878,0.000334440571661228,0.000241861845980615,0.000163359913700717,0.000141954164247937,4.78811623142887e-05,0.5
0.000485509993808464,0.000354621316951792,0.00028764786283842,0.000276567651538429,0.000161256430383924,0.000137879625217795,4.76275415050913e-05,0.6
0.000416534376217214,0.000371497641698967,0.000314290054863995,0.000245056036750981,0.000169614924241398,0.000137723531883554,4.80180680060148e-05,0.7
0.000438626497699126,0.000340207023162351,0.000296709391792451,0.000302353827998243,0.000159226525408726,0.000141992780472219,4.76174399541194e-05,0.8
0.000375649640474407,0.000364254961837103,0.000336543563961724,0.000244446016550909,0.000179452439185064,0.000126094961037681,4.8049495405437e-05,0.9
0.0004068691298835,0.000332318379194372,0.000309955664140096,0.000267510122813104,0.000158050594270035,0.000153179146686801,4.76405977580062e-05,1
0.000380102719364304,0.000388243986622567,0.000302784136826371,0.000241690630543608,0.000173910748153009,0.000128017145959606,4.78682731528677e-05,1.1
0.000385060069678792,0.000332737501690544,0.000328213546084933,0.000250451605123607,0.000157897171247725,0.00015308,4.76944805533455e-05,1.2
0.000394329029488339,0.00042416,0.000287714596551787,0.000242890708965993,0.000169120979308207,0.000130521361796937,4.77344226125476e-05,1.3
0.000373323233887294,0.000347537654450494,0.000361946816566708,0.000243080350988364,0.000159395405809625,0.000152970269432977,4.77765998034957e-05,1.4
0.000417350548512832,0.00038744235534032,0.000283073657782856,0.000249387469067579,0.000165077673681443,0.000133546883957634,4.77107531892472e-05,1.5
0.000374542182077686,0.000391724086311557,0.000337991313429946,0.000241721413784107,0.000162599233561558,0.000141972436190146,4.78865048141746e-05,1.6
0.000451931297207097,0.000362273724984238,0.000285243402374711,0.000265020333429873,0.000162121193971028,0.000136383189644571,4.7643731459663e-05,1.7
0.000401028666981226,0.000375993821547953,0.000316156427558073,0.000244558702529914,0.000169667821206476,0.000137732872872957,4.80213055899335e-05,1.8
0.00044048428500688,0.000343934314368406,0.000292449679780048,0.000297206666383463,0.000159819141504297,0.000140219949447722,4.76139688808414e-05,1.9
0.000449152327048167,0.000340589655821031,0.000299973405345081,0.000251622409942972,0.000179828015725435,0.000134095942828455,4.81812412756925e-05,2
0.000400377927016415,0.000333257575663722,0.000305273021688777,0.00027656697099161,0.000158336024918275,0.000145016882621054,4.76186855584932e-05,2.1
