Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	5.1287	2.2892	0.	266.24
2	4.8073	1.9575	0.	-143.4
3	3.2917	3.1164	0.	-248.79
4	5.9435	3.0149	0.	-89.514
5	1.7427	3.0295	0.	-222.01
6	4.621	1.1833	0.	-152.67
7	4.4777	2.0892	0.	59.044
8	4.0376	4.6183	0.	52.861
9	8.4246	4.2505	0.	-198.09
10	6.7756	3.2729	0.	15.559
11	5.1896	2.2863	0.	-174.76
12	16.638	3.3337	0.	-20.215
13	5.0618	2.4674	0.	-62.307
14	5.1426	2.9444	0.	29.153
15	5.4491	2.7558	0.	-66.87
16	10.057	2.7209	0.	-14.168
17	4.8799	1.5352	0.	167.72
18	5.2077	2.4902	0.	21.425
19	5.2077	2.4902	0.1	-21.425
20	4.8799	1.5352	0.1	-167.72
21	10.057	2.7209	0.1	14.168
22	5.4491	2.7558	0.1	66.87
23	5.1426	2.9444	0.1	-29.153
24	5.0618	2.4674	0.1	62.307
25	16.638	3.3337	0.1	20.215
26	5.1896	2.2863	0.1	174.76
27	6.7756	3.2729	0.1	-15.559
28	8.4246	4.2505	0.1	198.09
29	4.0376	4.6183	0.1	-52.861
30	4.4777	2.0892	0.1	-59.044
31	4.621	1.1833	0.1	152.67
32	1.7427	3.0295	0.1	222.01
33	5.9435	3.0149	0.1	89.514
34	3.2917	3.1164	0.1	248.79
35	4.8073	1.9575	0.1	143.4
36	5.1287	2.2892	0.1	-266.24
37	5.2667	5.	0.1	51.586
38	5.2667	4.5	0.1	192.98
39	5.2667	4.	0.1	552.26
40	5.1	4.	0.1	442.09
41	5.1	4.5	0.1	-207.16
42	5.1	5.	0.1	651.73
43	5.2667	1.	0.1	101.49
44	5.2667	1.5	0.1	-4.2876
45	5.2667	2.	0.1	977.31
46	5.1	2.	0.1	234.61
47	5.1	1.5	0.1	72.509
48	5.1	1.	0.1	200.35
49	5.2667	6.	0.1	58.843
50	8.7792	6.	0.1	33.581
51	12.292	6.	0.1	12.028
52	16.975	6.	0.1	28.829
53	24.	6.	0.1	18.109
54	24.	3.	0.1	20.404
55	2.6226e-014	3.	0.1	1009.3
56	24.	0.	0.1	19.16
57	14.633	0.	0.1	54.459
58	9.95	0.	0.1	7.4448
59	5.2667	0.	0.1	86.735
60	5.1	0.	0.1	14.828
61	3.4	1.4558e-030	0.1	4.4021
62	1.7	7.2791e-031	0.1	207.85
63	0.	0.	0.1	777.7
64	3.937e-014	6.	0.1	864.81
65	2.55	6.	0.1	212.62
66	5.1	6.	0.1	166.92
67	2.55	6.	0.	-212.62
68	5.1	6.	0.	-166.92
69	3.937e-014	6.	0.	-864.81
70	1.7	7.2791e-031	0.	-207.85
71	3.4	1.4558e-030	0.	-4.4021
